Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,300.0,300.0,300.0,300.0
600,300.0,306.54,301.04,306.6666666666667
1200,300.08,313.14,302.7,313.3333333333333
1800,300.39,319.75,304.73,320.0
2400,301.02,319.83,306.04,320.0
3000,301.93,319.85,307.0,320.0
3600,302.94,319.86,307.83,320.0
4200,303.95,319.87,308.59,320.0
4800,304.92,319.88,309.29,320.0
5400,305.84,319.89,309.95,320.0
6000,306.7,319.89,310.57,320.0
6600,307.52,319.9,311.14,320.0
7200,308.28,319.91,311.69,320.0
7800,309.0,313.37,311.16,313.3333333333333
8400,309.59,306.78,309.98,306.6666666666667
9000,309.91,300.17,308.39,300.0
9600,309.87,300.1,307.5,300.0
10200,309.52,300.08,306.94,300.0
10800,309.03,300.08,306.47,300.0
11400,308.52,300.07,306.06,300.0
12000,308.01,300.07,305.69,300.0
12600,307.52,300.06,305.34,300.0
13200,307.06,300.06,305.01,300.0
13800,306.63,300.05,304.7,300.0
14400,306.23,300.05,304.42,300.0
