Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,100.0,100.0,100.0,100.0
600,100.01,104.17,100.98,104.16666666666669
1200,100.12,108.33,102.38,108.33333333333331
1800,100.5,112.5,104.04,112.5
2400,101.16,116.67,105.91,116.66666666666666
3000,102.11,120.83,107.97,120.83333333333331
3600,103.32,125.0,110.2,125.0
4200,104.77,129.17,112.59,129.16666666666666
4800,106.44,133.33,115.13,133.33333333333331
5400,108.32,137.5,117.8,137.5
6000,110.38,141.67,120.59,141.66666666666666
6600,112.61,145.83,123.48,145.83333333333331
7200,114.95,150.0,126.4,150.0
7800,117.41,154.17,129.44,154.16666666666666
8400,120.0,158.33,132.57,158.33333333333331
9000,122.71,162.5,135.78,162.5
9600,125.53,166.67,139.07,166.66666666666666
10200,128.47,170.83,142.42,170.83333333333331
10800,131.5,175.0,145.85,175.0
11400,134.62,179.17,149.33,179.16666666666666
12000,137.82,183.33,152.86,183.33333333333331
12600,141.1,187.5,156.45,187.5
13200,144.41,191.67,160.03,191.66666666666663
13800,147.63,195.83,163.54,195.83333333333331
14400,150.9,200.0,167.11,200.0
