Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,100.0,100.0,100.0,100.0
600,100.01,108.33,101.97,108.33333333333331
1200,100.25,116.67,104.77,116.66666666666666
1800,100.99,125.0,108.08,125.0
2400,102.32,133.33,111.82,133.33333333333331
3000,104.21,141.67,115.94,141.66666666666666
3600,106.62,150.0,120.33,150.0
4200,109.46,158.33,125.03,158.33333333333331
4800,112.73,166.67,130.03,166.66666666666666
5400,116.4,175.0,135.3,175.0
6000,120.43,183.33,140.82,183.33333333333331
6600,124.8,191.67,146.52,191.66666666666663
7200,129.31,200.0,152.26,200.0
7800,134.08,208.33,158.23,208.33333333333331
8400,139.1,216.67,164.38,216.66666666666663
9000,144.37,225.0,170.7,225.0
9600,149.88,233.33,177.18,233.33333333333331
10200,155.41,241.67,183.58,241.66666666666663
10800,161.01,250.0,190.07,250.0
11400,166.79,258.33,196.71,258.3333333333333
12000,172.75,266.67,203.48,266.66666666666663
12600,178.88,275.0,210.36,275.0
13200,185.07,283.33,217.25,283.3333333333333
13800,191.14,291.67,224.03,291.66666666666663
14400,197.33,300.0,230.93,300.0
