Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,350.0,350.0,350.0,350.0
600,350.0,359.97,351.55,360.09000000000003
1200,350.11,364.13,352.97,364.26666666666665
1800,350.47,367.44,354.37,367.585
2400,351.07,370.21,355.74,370.36
3000,351.86,372.65,357.1,372.8
3600,352.78,374.84,358.46,375.0
4200,353.81,376.83,359.82,376.9916666666667
4800,354.92,378.68,361.19,378.85
5400,356.09,380.43,362.56,380.6
6000,357.3,382.09,363.93,382.26
6600,358.55,383.67,365.3,383.84333333333336
7200,359.83,385.19,366.67,385.36
7800,361.13,386.62,368.03,386.7933333333333
8400,362.45,388.01,369.38,388.18
9000,363.77,389.35,370.72,389.52
9600,365.11,390.65,372.06,390.81666666666666
10200,366.44,391.91,373.38,392.075
10800,367.78,393.13,374.7,393.3
11400,369.11,394.32,376.0,394.48333333333335
12000,370.43,395.48,377.27,395.64
12600,371.71,396.61,378.5,396.765
13200,372.98,397.71,379.72,397.86333333333334
13800,374.24,398.79,380.94,398.94166666666666
14400,375.49,399.85,382.14,400.0
