Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,100.0,100.0,100.0,100.0
600,100.01,108.17,101.63,108.33333333333331
1200,100.24,116.42,104.11,116.66666666666666
1800,100.97,124.68,107.11,125.0
2400,102.28,132.95,110.56,133.33333333333331
3000,104.15,141.22,114.4,141.66666666666666
3600,106.53,149.5,118.55,150.0
4200,109.35,157.78,123.01,158.33333333333331
4800,112.58,166.07,127.79,166.66666666666666
5400,116.21,174.36,132.85,175.0
6000,120.21,182.66,138.17,183.33333333333331
6600,124.55,190.95,143.73,191.66666666666663
7200,129.05,199.26,149.29,200.0
7800,133.78,199.39,153.51,200.0
8400,138.58,199.45,157.11,200.0
9000,143.17,199.49,160.39,200.0
9600,147.47,199.53,163.4,200.0
10200,151.45,199.57,166.18,200.0
10800,155.13,199.6,168.75,200.0
11400,158.54,199.63,171.12,200.0
12000,161.68,199.66,173.31,200.0
12600,164.59,199.68,175.34,200.0
13200,167.28,199.71,177.21,200.0
13800,169.76,199.73,178.94,200.0
14400,171.96,199.75,180.49,200.0
