Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,22.22879047,22.22879047,22.22879047,22.22879047
600,22.131,23.369,22.413,23.58891243
1200,22.165,25.949,23.132,26.42581111
1800,22.309,31.167,24.672,32.24785045
2400,22.694,41.253,27.755,43.80872093
3000,23.549,59.138,33.445,65.33286975
3600,25.27,86.41,42.705,100.9890375
4200,28.414,119.77,55.367,149.9971675
4800,33.514,151.12,69.622,202.5358542
5400,40.743,174.08,83.116,245.7810506
6000,49.69,187.99,94.958,274.2819703
6600,59.653,195.49,105.06,290.4183257
7200,69.944,199.26,113.73,298.7777778
7800,80.015,195.5,119.82,290.4183257
8400,89.376,188.0,124.06,274.2819703
9000,97.719,174.1,125.72,245.7810506
9600,104.74,151.15,123.78,202.5358542
10200,109.95,119.81,117.76,149.9971675
10800,112.94,86.45,108.67,100.9890375
11400,113.35,59.175,98.842,65.33286975
12000,111.25,41.286,89.983,43.80872093
12600,107.23,31.195,82.681,32.24785045
13200,102.09,25.973,76.696,26.42581111
13800,96.503,23.391,71.66,23.58891243
14400,90.884,22.149,67.293,22.22879047
