Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C,input_type,ambient_temperature,convection_coefficient,shape,length,height,diameter_of_hx,density,thermal_conductivity,specific_heat
153.97,100.0,100.51,100.05,100.0,temperature,300,20,cylindrical,20,3,3,200,2,400
293.97,100.0,100.99,100.12,100.49136496272996,temperature,300,20,cylindrical,20,3,3,200,2,400
433.97,100.0,101.47,100.21,100.98272992545994,temperature,300,20,cylindrical,20,3,3,200,2,400
583.97,100.0,101.99,100.33,101.50919238552775,temperature,300,20,cylindrical,20,3,3,200,2,400
723.97,100.01,102.47,100.44,102.00055734825771,temperature,300,20,cylindrical,20,3,3,200,2,400
873.97,100.02,102.98,100.58,102.52701980832556,temperature,300,20,cylindrical,20,3,3,200,2,400
1014.0,100.03,103.46,100.71,103.01849006354752,temperature,300,20,cylindrical,20,3,3,200,2,400
1154.0,100.05,103.95,100.85,103.50985502627748,temperature,300,20,cylindrical,20,3,3,200,2,400
1304.0,100.08,104.46,101.02,104.03631748634533,temperature,300,20,cylindrical,20,3,3,200,2,400
1444.0,100.12,104.94,101.18,104.52768244907529,temperature,300,20,cylindrical,20,3,3,200,2,400
1594.0,100.16,105.46,101.35,105.0541449091431,temperature,300,20,cylindrical,20,3,3,200,2,400
1734.0,100.22,105.94,101.52,105.54550987187308,temperature,300,20,cylindrical,20,3,3,200,2,400
1874.0,100.28,106.42,101.7,106.03687483460304,temperature,300,20,cylindrical,20,3,3,200,2,400
2024.0,100.35,106.94,101.9,106.56333729467086,temperature,300,20,cylindrical,20,3,3,200,2,400
2164.0,100.43,107.42,102.09,107.05470225740083,temperature,300,20,cylindrical,20,3,3,200,2,400
2314.0,100.52,107.94,102.3,107.58116471746864,temperature,300,20,cylindrical,20,3,3,200,2,400
2454.0,100.61,108.42,102.51,108.07252968019864,temperature,300,20,cylindrical,20,3,3,200,2,400
2594.0,100.71,108.9,102.72,108.5638946429286,temperature,300,20,cylindrical,20,3,3,200,2,400
2744.0,100.82,109.42,102.95,109.09035710299642,temperature,300,20,cylindrical,20,3,3,200,2,400
2884.0,100.94,109.9,103.17,109.58172206572638,temperature,300,20,cylindrical,20,3,3,200,2,400
