Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C,input_type,ambient_temperature,convection_coefficient,shape,length,height,diameter_of_hx,density,thermal_conductivity,specific_heat
153.97,100.0,101.54,100.15,100.0,temperature,300,20,cylindrical,20,3,3,200,2,400
293.97,100.0,102.98,100.37,101.47409488818992,temperature,300,20,cylindrical,20,3,3,200,2,400
433.97,100.0,104.42,100.64,102.9481897763798,temperature,300,20,cylindrical,20,3,3,200,2,400
583.97,100.01,105.96,100.98,104.52757715658328,temperature,300,20,cylindrical,20,3,3,200,2,400
723.97,100.02,107.4,101.33,106.00167204477316,temperature,300,20,cylindrical,20,3,3,200,2,400
873.97,100.05,108.95,101.73,107.58105942497664,temperature,300,20,cylindrical,20,3,3,200,2,400
1014.0,100.09,110.39,102.14,109.05547019064258,temperature,300,20,cylindrical,20,3,3,200,2,400
1154.0,100.15,111.84,102.56,110.52956507883248,temperature,300,20,cylindrical,20,3,3,200,2,400
1304.0,100.24,113.38,103.05,112.10895245903596,temperature,300,20,cylindrical,20,3,3,200,2,400
1444.0,100.35,114.83,103.53,113.58304734722586,temperature,300,20,cylindrical,20,3,3,200,2,400
1594.0,100.49,116.38,104.06,115.16243472742931,temperature,300,20,cylindrical,20,3,3,200,2,400
1734.0,100.65,117.82,104.57,116.63652961561922,temperature,300,20,cylindrical,20,3,3,200,2,400
1874.0,100.83,119.27,105.11,118.11062450380912,temperature,300,20,cylindrical,20,3,3,200,2,400
2024.0,101.05,120.82,105.71,119.6900118840126,temperature,300,20,cylindrical,20,3,3,200,2,400
2164.0,101.28,122.27,106.28,121.1641067722025,temperature,300,20,cylindrical,20,3,3,200,2,400
2314.0,101.55,123.82,106.91,122.74349415240596,temperature,300,20,cylindrical,20,3,3,200,2,400
2454.0,101.82,125.27,107.52,124.21758904059588,temperature,300,20,cylindrical,20,3,3,200,2,400
2594.0,102.12,126.71,108.15,125.69168392878578,temperature,300,20,cylindrical,20,3,3,200,2,400
2744.0,102.47,128.26,108.84,127.27107130898924,temperature,300,20,cylindrical,20,3,3,200,2,400
