Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C,input_type,ambient_temperature,convection_coefficient,shape,length,height,diameter_of_hx,density,thermal_conductivity,specific_heat
153.97,107.2,107.86,107.26,107.87547387768193,temperature,300,20,cylindrical,20,3,3,200,2,400
293.97,107.2,108.47,107.36,108.49965292647867,temperature,300,20,cylindrical,20,3,3,200,2,400
433.97,107.2,109.12,107.48,109.1429886704052,temperature,300,20,cylindrical,20,3,3,200,2,400
583.97,107.2,109.86,107.63,109.87396502053556,temperature,300,20,cylindrical,20,3,3,200,2,400
723.97,107.21,110.56,107.79,110.6223450321768,temperature,300,20,cylindrical,20,3,3,200,2,400
873.97,107.22,111.5,108.0,111.51793474818083,temperature,300,20,cylindrical,20,3,3,200,2,400
1014.0,107.24,112.39,108.22,112.43924465005476,temperature,300,20,cylindrical,20,3,3,200,2,400
1154.0,107.27,113.37,108.46,113.43580187824875,temperature,300,20,cylindrical,20,3,3,200,2,400
1304.0,107.31,114.52,108.76,114.58455596005662,temperature,300,20,cylindrical,20,3,3,200,2,400
1444.0,107.36,115.6,109.07,115.73388701223617,temperature,300,20,cylindrical,20,3,3,200,2,400
1594.0,107.42,116.96,109.43,117.049598769623,temperature,300,20,cylindrical,20,3,3,200,2,400
1734.0,107.5,118.23,109.8,118.35695478782657,temperature,300,20,cylindrical,20,3,3,200,2,400
1874.0,107.59,119.62,110.21,119.7422059781834,temperature,300,20,cylindrical,20,3,3,200,2,400
2024.0,107.71,121.23,110.69,121.33227439128105,temperature,300,20,cylindrical,20,3,3,200,2,400
2164.0,107.84,122.74,111.16,122.94823720696678,temperature,300,20,cylindrical,20,3,3,200,2,400
2314.0,107.99,124.71,111.74,124.84601446153972,temperature,300,20,cylindrical,20,3,3,200,2,400
2454.0,108.16,126.56,112.31,126.75790524988732,temperature,300,20,cylindrical,20,3,3,200,2,400
2594.0,108.35,128.56,112.94,128.7845667957427,temperature,300,20,cylindrical,20,3,3,200,2,400
2744.0,108.58,130.87,113.67,131.08339086767236,temperature,300,20,cylindrical,20,3,3,200,2,400
2884.0,108.82,133.04,114.4,133.3672869717184,temperature,300,20,cylindrical,20,3,3,200,2,400
3034.0,109.1,135.75,115.25,135.9839637227974,temperature,300,20,cylindrical,20,3,3,200,2,400
3174.0,109.4,138.29,116.1,138.60208954392922,temperature,300,20,cylindrical,20,3,3,200,2,400
3314.0,109.72,141.07,117.02,141.40586237552034,temperature,300,20,cylindrical,20,3,3,200,2,400
3464.0,110.1,144.29,118.09,144.6166419262277,temperature,300,20,cylindrical,20,3,3,200,2,400
3604.0,110.49,147.3,119.14,147.7930388333047,temperature,300,20,cylindrical,20,3,3,200,2,400
3754.0,110.95,151.01,120.37,151.38454627902252,temperature,300,20,cylindrical,20,3,3,200,2,400
3894.0,111.42,154.48,121.56,154.94287892067692,temperature,300,20,cylindrical,20,3,3,200,2,400
4034.0,111.92,158.24,122.82,158.73560839912776,temperature,300,20,cylindrical,20,3,3,200,2,400
4184.0,112.51,162.57,124.29,163.06352751240934,temperature,300,20,cylindrical,20,3,3,200,2,400
4324.0,113.1,166.63,125.74,167.32447713350524,temperature,300,20,cylindrical,20,3,3,200,2,400
4474.0,113.78,171.53,127.41,172.11005817185844,temperature,300,20,cylindrical,20,3,3,200,2,400
4614.0,114.46,176.11,129.07,176.80339266036268,temperature,300,20,cylindrical,20,3,3,200,2,400
4754.0,115.2,181.01,130.82,181.742823885108,temperature,300,20,cylindrical,20,3,3,200,2,400
4904.0,116.05,186.59,132.82,187.3138494203425,temperature,300,20,cylindrical,20,3,3,200,2,400
5044.0,116.9,191.8,134.79,192.75871373810057,temperature,300,20,cylindrical,20,3,3,200,2,400
5194.0,117.88,198.01,137.01,198.84053373056227,temperature,300,20,cylindrical,20,3,3,200,2,400
5334.0,118.85,203.78,139.13,204.74286369477093,temperature,300,20,cylindrical,20,3,3,200,2,400
5474.0,119.88,209.84,141.37,210.8596112633029,temperature,300,20,cylindrical,20,3,3,200,2,400
5624.0,121.05,216.61,143.92,217.64562911861427,temperature,300,20,cylindrical,20,3,3,200,2,400
5764.0,122.22,222.95,146.39,224.18973769647388,temperature,300,20,cylindrical,20,3,3,200,2,400
5914.0,123.55,230.25,149.19,231.419459083448,temperature,300,20,cylindrical,20,3,3,200,2,400
6054.0,124.87,237.07,151.92,238.3631333256896,temperature,300,20,cylindrical,20,3,3,200,2,400
6194.0,126.25,244.15,154.7,245.487676410872,temperature,300,20,cylindrical,20,3,3,200,2,400
6344.0,127.81,251.91,157.76,253.2969000783913,temperature,300,20,cylindrical,20,3,3,200,2,400
6484.0,129.35,259.17,160.73,260.7132810907232,temperature,300,20,cylindrical,20,3,3,200,2,400
6634.0,131.08,267.22,164.04,268.76479431219553,temperature,300,20,cylindrical,20,3,3,200,2,400
6774.0,132.77,274.75,167.24,276.37715425377223,temperature,300,20,cylindrical,20,3,3,200,2,400
