Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C,input_type,ambient_temperature,convection_coefficient,shape,length,height,diameter_of_hx,density,thermal_conductivity,specific_heat
153.97,100.0,102.06,100.2,100.0,temperature,300,20,cylindrical,20,3,3,200,2,400
293.97,100.0,103.97,100.49,101.96545985091988,temperature,300,20,cylindrical,20,3,3,200,2,400
433.97,100.0,105.89,100.86,103.93091970183974,temperature,300,20,cylindrical,20,3,3,200,2,400
583.97,100.01,107.95,101.3,106.03676954211105,temperature,300,20,cylindrical,20,3,3,200,2,400
723.97,100.03,109.87,101.77,108.0022293930309,temperature,300,20,cylindrical,20,3,3,200,2,400
873.97,100.06,111.93,102.31,110.1080792333022,temperature,300,20,cylindrical,20,3,3,200,2,400
1014.0,100.12,113.86,102.85,112.07396025419013,temperature,300,20,cylindrical,20,3,3,200,2,400
1154.0,100.21,115.78,103.42,114.03942010510998,temperature,300,20,cylindrical,20,3,3,200,2,400
1304.0,100.33,117.85,104.07,116.14526994538129,temperature,300,20,cylindrical,20,3,3,200,2,400
1444.0,100.47,119.77,104.7,118.11072979630114,temperature,300,20,cylindrical,20,3,3,200,2,400
1594.0,100.66,121.84,105.41,120.21657963657243,temperature,300,20,cylindrical,20,3,3,200,2,400
1734.0,100.86,123.77,106.1,122.1820394874923,temperature,300,20,cylindrical,20,3,3,200,2,400
1874.0,101.1,125.69,106.81,124.14749933841216,temperature,300,20,cylindrical,20,3,3,200,2,400
2024.0,101.4,127.76,107.61,126.25334917868346,temperature,300,20,cylindrical,20,3,3,200,2,400
2164.0,101.7,129.69,108.37,128.21880902960334,temperature,300,20,cylindrical,20,3,3,200,2,400
2314.0,102.06,131.76,109.22,130.3246588698746,temperature,300,20,cylindrical,20,3,3,200,2,400
2454.0,102.43,133.69,110.03,132.2901187207945,temperature,300,20,cylindrical,20,3,3,200,2,400
2594.0,102.83,135.62,110.87,134.25557857171435,temperature,300,20,cylindrical,20,3,3,200,2,400
2744.0,103.29,137.69,111.79,136.36142841198566,temperature,300,20,cylindrical,20,3,3,200,2,400
2884.0,103.75,139.62,112.67,138.32688826290553,temperature,300,20,cylindrical,20,3,3,200,2,400
3034.0,104.28,141.69,113.63,140.4327381031768,temperature,300,20,cylindrical,20,3,3,200,2,400
3174.0,104.8,143.62,114.56,142.3981979540967,temperature,300,20,cylindrical,20,3,3,200,2,400
3314.0,105.34,145.56,115.49,144.36365780501654,temperature,300,20,cylindrical,20,3,3,200,2,400
3464.0,105.95,147.62,116.49,146.46950764528785,temperature,300,20,cylindrical,20,3,3,200,2,400
3604.0,106.55,149.56,117.44,148.43496749620772,temperature,300,20,cylindrical,20,3,3,200,2,400
3754.0,107.22,151.63,118.49,150.540817336479,temperature,300,20,cylindrical,20,3,3,200,2,400
3894.0,107.86,153.56,119.49,152.5062771873989,temperature,300,20,cylindrical,20,3,3,200,2,400
4034.0,108.53,155.49,120.51,154.47173703831874,temperature,300,20,cylindrical,20,3,3,200,2,400
4184.0,109.27,157.56,121.63,156.57758687859004,temperature,300,20,cylindrical,20,3,3,200,2,400
4324.0,109.99,159.49,122.69,158.5430467295099,temperature,300,20,cylindrical,20,3,3,200,2,400
4474.0,110.78,161.57,123.84,160.6488965697812,temperature,300,20,cylindrical,20,3,3,200,2,400
4614.0,111.54,163.5,124.93,162.61435642070106,temperature,300,20,cylindrical,20,3,3,200,2,400
4754.0,112.32,165.43,126.04,164.57981627162093,temperature,300,20,cylindrical,20,3,3,200,2,400
4904.0,113.19,167.5,127.25,166.6856661118922,temperature,300,20,cylindrical,20,3,3,200,2,400
5044.0,114.02,169.44,128.39,168.6511259628121,temperature,300,20,cylindrical,20,3,3,200,2,400
5194.0,114.93,171.51,129.63,170.75697580308338,temperature,300,20,cylindrical,20,3,3,200,2,400
5334.0,115.8,173.45,130.8,172.72243565400325,temperature,300,20,cylindrical,20,3,3,200,2,400
5474.0,116.7,175.38,131.99,174.68789550492312,temperature,300,20,cylindrical,20,3,3,200,2,400
5624.0,117.68,177.45,133.28,176.7937453451944,temperature,300,20,cylindrical,20,3,3,200,2,400
5764.0,118.61,179.39,134.5,178.7592051961143,temperature,300,20,cylindrical,20,3,3,200,2,400
5914.0,119.63,181.46,135.82,180.8650550363856,temperature,300,20,cylindrical,20,3,3,200,2,400
6054.0,120.61,183.4,137.07,182.83051488730544,temperature,300,20,cylindrical,20,3,3,200,2,400
6194.0,121.6,185.33,138.33,184.7959747382253,temperature,300,20,cylindrical,20,3,3,200,2,400
6344.0,122.68,187.41,139.69,186.9018245784966,temperature,300,20,cylindrical,20,3,3,200,2,400
6484.0,123.71,189.34,140.98,188.8672844294165,temperature,300,20,cylindrical,20,3,3,200,2,400
6634.0,124.81,191.43,142.32,190.97313426968776,temperature,300,20,cylindrical,20,3,3,200,2,400
6774.0,125.83,193.37,143.57,192.9385941206076,temperature,300,20,cylindrical,20,3,3,200,2,400
6914.0,126.87,195.3,144.85,194.9040539715275,temperature,300,20,cylindrical,20,3,3,200,2,400
7064.0,128.0,197.38,146.22,197.0099038117988,temperature,300,20,cylindrical,20,3,3,200,2,400
7204.0,129.07,199.31,147.53,198.97536366271865,temperature,300,20,cylindrical,20,3,3,200,2,400
7354.0,130.23,201.39,148.93,201.08121350298995,temperature,300,20,cylindrical,20,3,3,200,2,400
7494.0,131.33,203.33,150.26,203.0466733539098,temperature,300,20,cylindrical,20,3,3,200,2,400
7634.0,132.44,205.26,151.6,205.0121332048297,temperature,300,20,cylindrical,20,3,3,200,2,400
7784.0,133.65,207.34,153.05,207.11798304510097,temperature,300,20,cylindrical,20,3,3,200,2,400
7924.0,134.79,209.27,154.41,209.08344289602084,temperature,300,20,cylindrical,20,3,3,200,2,400
8074.0,136.03,211.35,155.89,211.18929273629212,temperature,300,20,cylindrical,20,3,3,200,2,400
8214.0,137.2,213.29,157.27,213.154752587212,temperature,300,20,cylindrical,20,3,3,200,2,400
8354.0,138.38,215.23,158.67,215.1202124381319,temperature,300,20,cylindrical,20,3,3,200,2,400
8504.0,139.67,217.3,160.17,217.2260622784032,temperature,300,20,cylindrical,20,3,3,200,2,400
8644.0,140.88,219.24,161.59,219.19152212932303,temperature,300,20,cylindrical,20,3,3,200,2,400
8794.0,142.19,221.32,163.12,221.29737196959437,temperature,300,20,cylindrical,20,3,3,200,2,400
8934.0,143.43,223.25,164.55,223.2628318205142,temperature,300,20,cylindrical,20,3,3,200,2,400
9074.0,144.68,225.19,166.0,225.22829167143408,temperature,300,20,cylindrical,20,3,3,200,2,400
9224.0,146.04,227.27,167.56,227.33414151170533,temperature,300,20,cylindrical,20,3,3,200,2,400
9364.0,147.31,229.21,169.02,229.2996013626252,temperature,300,20,cylindrical,20,3,3,200,2,400
9514.0,148.7,231.28,170.6,231.40545120289653,temperature,300,20,cylindrical,20,3,3,200,2,400
9654.0,150.0,233.22,172.08,233.3709110538164,temperature,300,20,cylindrical,20,3,3,200,2,400
9794.0,151.31,235.18,173.57,235.33637090473627,temperature,300,20,cylindrical,20,3,3,200,2,400
9944.0,152.66,237.26,175.09,237.44222074500755,temperature,300,20,cylindrical,20,3,3,200,2,400
10084.0,153.94,239.2,176.52,239.40768059592745,temperature,300,20,cylindrical,20,3,3,200,2,400
10234.0,155.31,241.27,178.07,241.51353043619872,temperature,300,20,cylindrical,20,3,3,200,2,400
10374.0,156.6,243.21,179.52,243.4789902871186,temperature,300,20,cylindrical,20,3,3,200,2,400
10514.0,157.9,245.15,180.99,245.4444501380385,temperature,300,20,cylindrical,20,3,3,200,2,400
10664.0,159.3,247.23,182.57,247.5502999783097,temperature,300,20,cylindrical,20,3,3,200,2,400
10804.0,160.62,249.16,184.06,249.5157598292296,temperature,300,20,cylindrical,20,3,3,200,2,400
10954.0,162.04,251.24,185.66,251.6216096695009,temperature,300,20,cylindrical,20,3,3,200,2,400
11094.0,163.38,253.18,187.16,253.5870695204208,temperature,300,20,cylindrical,20,3,3,200,2,400
11234.0,164.72,255.12,188.67,255.55252937134065,temperature,300,20,cylindrical,20,3,3,200,2,400
11384.0,166.18,257.2,190.3,257.658379211612,temperature,300,20,cylindrical,20,3,3,200,2,400
11524.0,167.55,259.14,191.83,259.62383906253183,temperature,300,20,cylindrical,20,3,3,200,2,400
11674.0,169.02,261.21,193.47,261.7296889028031,temperature,300,20,cylindrical,20,3,3,200,2,400
11814.0,170.41,263.15,195.02,263.69514875372295,temperature,300,20,cylindrical,20,3,3,200,2,400
11954.0,171.81,265.09,196.56,265.66060860464285,temperature,300,20,cylindrical,20,3,3,200,2,400
12104.0,173.31,267.17,198.23,267.7664584449141,temperature,300,20,cylindrical,20,3,3,200,2,400
12244.0,174.73,269.11,199.79,269.731918295834,temperature,300,20,cylindrical,20,3,3,200,2,400
12394.0,176.26,271.19,201.48,271.8377681361053,temperature,300,20,cylindrical,20,3,3,200,2,400
