Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C,input_type,ambient_temperature,convection_coefficient,shape,length,height,diameter_of_hx,density,thermal_conductivity,specific_heat
153.96,120.0,121.03,120.1,120.0,temperature,300,20,cylindrical,20,3,3,200,2,400
293.96,120.0,121.99,120.24,120.98272992545994,temperature,300,20,cylindrical,20,3,3,200,2,400
433.96,120.0,122.94,120.42,121.96545985091988,temperature,300,20,cylindrical,20,3,3,200,2,400
583.96,120.0,123.97,120.64,123.01838477105552,temperature,300,20,cylindrical,20,3,3,200,2,400
723.96,120.01,124.93,120.87,124.00111469651544,temperature,300,20,cylindrical,20,3,3,200,2,400
873.96,120.03,125.97,121.14,125.0540396166511,temperature,300,20,cylindrical,20,3,3,200,2,400
1014.0,120.06,126.93,121.4,126.03698012709506,temperature,300,20,cylindrical,20,3,3,200,2,400
1154.0,120.09,127.89,121.69,127.01971005255498,temperature,300,20,cylindrical,20,3,3,200,2,400
1304.0,120.15,128.92,122.01,128.07263497269065,temperature,300,20,cylindrical,20,3,3,200,2,400
1444.0,120.22,129.89,122.32,129.05536489815057,temperature,300,20,cylindrical,20,3,3,200,2,400
1594.0,120.3,130.92,122.67,130.1082898182862,temperature,300,20,cylindrical,20,3,3,200,2,400
1734.0,120.4,131.88,123.01,131.09101974374616,temperature,300,20,cylindrical,20,3,3,200,2,400
1874.0,120.52,132.85,123.36,132.07374966920608,temperature,300,20,cylindrical,20,3,3,200,2,400
2024.0,120.65,133.88,123.75,133.12667458934172,temperature,300,20,cylindrical,20,3,3,200,2,400
2164.0,120.8,134.85,124.13,134.10940451480167,temperature,300,20,cylindrical,20,3,3,200,2,400
2314.0,120.97,135.88,124.55,135.1623294349373,temperature,300,20,cylindrical,20,3,3,200,2,400
2454.0,121.15,136.84,124.95,136.14505936039723,temperature,300,20,cylindrical,20,3,3,200,2,400
2594.0,121.34,137.81,125.36,137.12778928585718,temperature,300,20,cylindrical,20,3,3,200,2,400
2744.0,121.56,138.84,125.81,138.18071420599284,temperature,300,20,cylindrical,20,3,3,200,2,400
2884.0,121.78,139.81,126.24,139.16344413145276,temperature,300,20,cylindrical,20,3,3,200,2,400
3034.0,122.03,140.84,126.72,140.2163690515884,temperature,300,20,cylindrical,20,3,3,200,2,400
3174.0,122.28,141.81,127.17,141.19909897704835,temperature,300,20,cylindrical,20,3,3,200,2,400
3314.0,122.55,142.77,127.64,142.18182890250827,temperature,300,20,cylindrical,20,3,3,200,2,400
3464.0,122.84,143.81,128.15,143.2347538226439,temperature,300,20,cylindrical,20,3,3,200,2,400
3604.0,123.13,144.78,128.63,144.21748374810386,temperature,300,20,cylindrical,20,3,3,200,2,400
3754.0,123.46,145.81,129.16,145.2704086682395,temperature,300,20,cylindrical,20,3,3,200,2,400
3894.0,123.78,146.78,129.66,146.25313859369945,temperature,300,20,cylindrical,20,3,3,200,2,400
4034.0,124.11,147.74,130.17,147.23586851915937,temperature,300,20,cylindrical,20,3,3,200,2,400
4184.0,124.47,148.78,130.73,148.2887934,temperature,300,20,cylindrical,20,3,3,200,2,400
4324.0,124.83,149.74,131.26,149.27152336475496,temperature,300,20,cylindrical,20,3,3,200,2,400
4474.0,125.22,150.78,131.84,150.3244482848906,temperature,300,20,cylindrical,20,3,3,200,2,400
4614.0,125.6,151.75,132.39,151.30717821035051,temperature,300,20,cylindrical,20,3,3,200,2,400
4754.0,125.99,152.71,132.94,152.28990813581046,temperature,300,20,cylindrical,20,3,3,200,2,400
4904.0,126.42,153.75,133.54,153.3428330559461,temperature,300,20,cylindrical,20,3,3,200,2,400
5044.0,126.83,154.72,134.12,154.32556298140605,temperature,300,20,cylindrical,20,3,3,200,2,400
5194.0,127.29,155.75,134.74,155.3784879015417,temperature,300,20,cylindrical,20,3,3,200,2,400
5334.0,127.72,156.72,135.32,156.3612178270016,temperature,300,20,cylindrical,20,3,3,200,2,400
5474.0,128.17,157.69,135.92,157.34394775246156,temperature,300,20,cylindrical,20,3,3,200,2,400
5624.0,128.65,158.72,136.56,158.3968726725972,temperature,300,20,cylindrical,20,3,3,200,2,400
5764.0,129.12,159.69,137.17,159.37960259805715,temperature,300,20,cylindrical,20,3,3,200,2,400
5914.0,129.63,160.73,137.83,160.4325275181928,temperature,300,20,cylindrical,20,3,3,200,2,400
6054.0,130.11,161.7,138.45,161.4152574436527,temperature,300,20,cylindrical,20,3,3,200,2,400
