Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C,input_type,ambient_temperature,convection_coefficient,shape,length,height,diameter_of_hx,density,thermal_conductivity,specific_heat
153.94,140.0,141.03,140.1,140.0,temperature,300,20,cylindrical,20,3,3,200,2,400
293.94,140.0,141.99,140.24,140.98272785598263,temperature,300,20,cylindrical,20,3,3,200,2,400
433.94,140.0,142.94,140.42,141.96545571196526,temperature,300,20,cylindrical,20,3,3,200,2,400
583.94,140.0,143.97,140.63,143.0183784148038,temperature,300,20,cylindrical,20,3,3,200,2,400
723.94,140.01,144.93,140.86,144.00110627078644,temperature,300,20,cylindrical,20,3,3,200,2,400
873.94,140.03,145.97,141.12,145.05402897362498,temperature,300,20,cylindrical,20,3,3,200,2,400
1013.9,140.05,146.93,141.38,146.0364760502202,temperature,300,20,cylindrical,20,3,3,200,2,400
1153.9,140.08,147.89,141.66,147.01920390620285,temperature,300,20,cylindrical,20,3,3,200,2,400
1303.9,140.14,148.92,141.98,148.0721266090414,temperature,300,20,cylindrical,20,3,3,200,2,400
1443.9,140.2,149.89,142.29,149.05485446502402,temperature,300,20,cylindrical,20,3,3,200,2,400
1593.9,140.28,150.92,142.63,150.10777716786257,temperature,300,20,cylindrical,20,3,3,200,2,400
1733.9,140.37,151.88,142.96,151.0905050238452,temperature,300,20,cylindrical,20,3,3,200,2,400
1873.9,140.48,152.85,143.31,152.07323287982783,temperature,300,20,cylindrical,20,3,3,200,2,400
2023.9,140.61,153.88,143.7,153.12615558266637,temperature,300,20,cylindrical,20,3,3,200,2,400
2163.9,140.75,154.85,144.07,154.108883438649,temperature,300,20,cylindrical,20,3,3,200,2,400
2313.9,140.91,155.88,144.48,155.16180614148757,temperature,300,20,cylindrical,20,3,3,200,2,400
2453.9,141.08,156.84,144.87,156.14453399747018,temperature,300,20,cylindrical,20,3,3,200,2,400
2593.9,141.26,157.81,145.28,157.1272618534528,temperature,300,20,cylindrical,20,3,3,200,2,400
2743.9,141.47,158.84,145.72,158.18018455629135,temperature,300,20,cylindrical,20,3,3,200,2,400
2883.9,141.68,159.81,146.15,159.16291241227398,temperature,300,20,cylindrical,20,3,3,200,2,400
3033.9,141.92,160.84,146.62,160.21583511511253,temperature,300,20,cylindrical,20,3,3,200,2,400
3173.9,142.16,161.81,147.06,161.19856297109516,temperature,300,20,cylindrical,20,3,3,200,2,400
3313.9,142.41,162.77,147.52,162.18129082707782,temperature,300,20,cylindrical,20,3,3,200,2,400
3463.9,142.7,163.81,148.02,163.23421352991633,temperature,300,20,cylindrical,20,3,3,200,2,400
3603.9,142.98,164.78,148.49,164.216941385899,temperature,300,20,cylindrical,20,3,3,200,2,400
3753.9,143.29,165.81,149.01,165.2698640887375,temperature,300,20,cylindrical,20,3,3,200,2,400
3893.9,143.6,166.78,149.51,166.25259194472017,temperature,300,20,cylindrical,20,3,3,200,2,400
4033.9,143.92,167.74,150.01,167.2353198007028,temperature,300,20,cylindrical,20,3,3,200,2,400
4183.9,144.27,168.78,150.56,168.28824250354134,temperature,300,20,cylindrical,20,3,3,200,2,400
4323.9,144.61,169.74,151.08,169.27097035952397,temperature,300,20,cylindrical,20,3,3,200,2,400
4473.9,144.99,170.78,151.65,170.32389306236252,temperature,300,20,cylindrical,20,3,3,200,2,400
4613.9,145.36,171.75,152.19,171.30662091834515,temperature,300,20,cylindrical,20,3,3,200,2,400
4753.9,145.73,172.71,152.73,172.28934877432778,temperature,300,20,cylindrical,20,3,3,200,2,400
4903.9,146.15,173.75,153.33,173.34227147716632,temperature,300,20,cylindrical,20,3,3,200,2,400
5043.9,146.55,174.72,153.89,174.32499933314895,temperature,300,20,cylindrical,20,3,3,200,2,400
5193.9,146.99,175.75,154.5,175.3779220359875,temperature,300,20,cylindrical,20,3,3,200,2,400
5333.9,147.41,176.72,155.08,176.36064989197013,temperature,300,20,cylindrical,20,3,3,200,2,400
5473.9,147.84,177.69,155.66,177.3433777479528,temperature,300,20,cylindrical,20,3,3,200,2,400
5623.9,148.31,178.72,156.29,178.3963004507913,temperature,300,20,cylindrical,20,3,3,200,2,400
5763.9,148.76,179.69,156.89,179.37902830677393,temperature,300,20,cylindrical,20,3,3,200,2,400
5913.9,149.26,180.73,157.54,180.43195100961248,temperature,300,20,cylindrical,20,3,3,200,2,400
6053.9,149.73,181.7,158.15,181.41467886559516,temperature,300,20,cylindrical,20,3,3,200,2,400
6193.9,150.21,182.66,158.77,182.39740672157777,temperature,300,20,cylindrical,20,3,3,200,2,400
6343.9,150.73,183.7,159.44,183.45032942441628,temperature,300,20,cylindrical,20,3,3,200,2,400
6483.9,151.23,184.67,160.08,184.4330572803989,temperature,300,20,cylindrical,20,3,3,200,2,400
6633.9,151.77,185.71,160.74,185.48597998323748,temperature,300,20,cylindrical,20,3,3,200,2,400
6773.9,152.27,186.68,161.36,186.4687078392201,temperature,300,20,cylindrical,20,3,3,200,2,400
6913.9,152.78,187.65,161.99,187.45143569520275,temperature,300,20,cylindrical,20,3,3,200,2,400
7063.9,153.34,188.69,162.67,188.5043583980413,temperature,300,20,cylindrical,20,3,3,200,2,400
7203.9,153.86,189.65,163.32,189.48708625402392,temperature,300,20,cylindrical,20,3,3,200,2,400
7353.9,154.43,190.69,164.01,190.5400089568625,temperature,300,20,cylindrical,20,3,3,200,2,400
