Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0,400.0,400.0,400.0,400.0
70,400.0,400.93333333333334,400.07291666666663,400.93333333333334
140,400.0,401.8666666666667,400.1458333333333,401.8666666666667
210,400.0,402.82640000000004,400.2688,402.82640000000004
280,400.0,403.78773333333334,400.39480000000003,403.78773333333334
350,400.0,404.748,400.54,404.748
420,400.0,405.70799999999997,400.69000000000005,405.70799999999997
490,400.0,406.66906666666665,400.8618666666667,406.66906666666665
560,400.0,407.63039999999995,401.03920000000005,407.63039999999995
630,400.0,408.59085714285715,401.22814285714287,408.59085714285715
700,400.0,409.5508571428571,401.42314285714286,409.5508571428571
770,400.0032857142857,410.5141428571429,401.62800000000004,410.5141428571429
840,400.0082857142857,411.47914285714285,401.838,411.47914285714285
910,400.0161333333333,412.44173333333333,402.0602666666667,412.44173333333333
980,400.02546666666666,413.4030666666667,402.2889333333333,413.4030666666667
1050,400.03514285714283,414.3662857142857,402.52342857142855,414.3662857142857
1120,400.0451428571429,415.33128571428574,402.76342857142856,415.33128571428574
1190,400.0596,416.2944,403.0096,416.2944
1260,400.07826666666665,417.25573333333335,403.2616,417.25573333333335
1330,400.0992857142857,418.2184285714286,403.5202857142857,418.2184285714286
1400,400.1242857142857,419.1834285714286,403.7902857142857,419.1834285714286
1470,400.15299999999996,420.1484285714286,404.0621428571428,420.1484285714286
1540,400.188,421.1134285714286,404.33714285714285,421.1134285714286
1610,400.2256,422.0788,404.61746666666664,422.0788
1680,400.2676,423.0448,404.9068,423.0448
1750,400.31142857142856,424.01057142857144,405.1974285714286,424.01057142857144
1820,400.3614285714286,424.97557142857147,405.4924285714286,424.97557142857147
1890,400.41386666666665,425.9408,405.79040000000003,425.9408
1960,400.4745333333333,426.90680000000003,406.0984,426.90680000000003
2030,400.53642857142853,427.8727142857143,406.40742857142857,427.8727142857143
2100,400.6114285714286,428.8377142857143,406.72742857142856,428.8377142857143
2170,400.68685714285715,429.80271428571433,407.04785714285714,429.80271428571433
2240,400.76685714285713,430.7677142857143,407.37285714285713,430.7677142857143
2310,400.84799999999996,431.7328,407.6988,431.7328
2380,400.9413333333333,432.6988,408.0348,432.6988
2450,401.0346666666667,433.6648,408.3708,433.6648
2520,401.139,434.62985714285713,408.7152857142857,434.62985714285713
2590,401.244,435.5948571428571,409.0602857142857,435.5948571428571
2660,401.3556,436.5608,409.4144,436.5608
2730,401.4676,437.52680000000004,409.7690666666666,437.52680000000004
2800,401.59000000000003,438.492,410.132,438.492
2870,401.71500000000003,439.457,410.497,439.457
2940,401.848,440.42199999999997,410.866,440.42199999999997
3010,401.983,441.387,411.236,441.387
3080,402.1257333333333,442.3528,411.6124,442.3528
3150,402.2704,443.31879999999995,411.9904,443.31879999999995
3220,402.4251428571429,444.28414285714285,412.373,444.28414285714285
3290,402.58514285714284,445.24914285714283,412.758,445.24914285714283
3360,402.7504,446.21479999999997,413.15066666666667,446.21479999999997
3430,402.9184,447.1808,413.5473333333333,447.1808
3500,403.09000000000003,448.14885714285714,413.9457142857143,448.14885714285714
3570,403.26500000000004,449.1188571428571,414.3457142857143,449.1188571428571
3640,403.4477142857143,450.0862857142857,414.75085714285717,450.0862857142857
3710,403.6377142857143,451.0512857142857,415.16085714285714,451.0512857142857
3780,403.8308,452.0168,415.5736,452.0168
3850,404.0268,452.9828,415.98893333333336,452.9828
3920,404.22799999999995,453.94842857142856,416.40785714285715,453.94842857142856
3990,404.438,454.91342857142854,416.83285714285716,454.91342857142854
4060,404.6514666666667,455.88053333333335,417.26120000000003,455.88053333333335
4130,404.87080000000003,456.8512,417.6952,456.8512
4200,405.09257142857143,457.82057142857144,418.1305714285714,457.82057142857144
4270,405.32257142857145,458.7855714285714,418.57057142857144,458.7855714285714
4340,405.5537142857143,459.7505714285714,419.01171428571433,459.7505714285714
4410,405.7887142857143,460.7155714285714,419.4567142857143,460.7155714285714
4480,406.02653333333336,461.6808,419.9034666666667,461.6808
4550,406.27386666666666,462.6468,420.35613333333333,462.6468
4620,406.5222857142857,463.6131428571428,420.80942857142855,463.6131428571428
4690,406.7822857142857,464.58314285714283,421.26942857142853,464.58314285714283
4760,407.0428,465.55280000000005,421.73,465.55280000000005
4830,407.30879999999996,466.5188,422.19666666666666,466.5188
4900,407.5748,467.4848,422.66333333333336,467.4848
4970,407.8492857142857,468.4498571428572,423.1378571428571,468.4498571428572
5040,408.1242857142857,469.41485714285716,423.61285714285714,469.41485714285716
5110,408.4134285714286,470.38457142857146,424.09257142857143,470.38457142857146
5180,408.7034285714286,471.35457142857143,424.57257142857145,471.35457142857143
5250,408.9972,472.3208,425.0576,472.3208
5320,409.2912,473.2868,425.54293333333334,473.2868
5390,409.59000000000003,474.25600000000003,426.036,474.25600000000003
5460,409.89,475.226,426.531,475.226
5530,410.2001333333333,476.19280000000003,427.0294666666667,476.19280000000003
5600,410.5128,477.1588,427.5288,477.1588
5670,410.8335714285714,478.1241428571429,428.0318571428571,478.1241428571429
5740,411.1585714285714,479.08914285714286,428.5368571428571,479.08914285714286
5810,411.48685714285716,480.0574285714286,429.0484285714286,480.0574285714286
5880,411.81685714285715,481.0274285714286,429.5634285714286,481.0274285714286
5950,412.1508,481.9948,430.0804,481.9948
6020,412.48679999999996,482.9608,430.5984,482.9608
6090,412.8274285714285,483.92885714285717,431.12,483.92885714285717
6160,413.17242857142855,484.89885714285714,431.645,484.89885714285714
6230,413.5224,485.8668,432.1712,485.8668
6300,413.8770666666667,486.8328,432.69853333333333,486.8328
6370,414.23557142857146,487.80028571428574,433.2305714285714,487.80028571428574
6440,414.6005714285714,488.7702857142857,433.77057142857143,488.7702857142857
6510,414.96742857142857,489.7384285714286,434.31057142857145,489.7384285714286
6580,415.3374285714286,490.70342857142856,434.8505714285714,490.70342857142856
6650,415.7121333333333,491.6688,435.3928,491.6688
6720,416.09479999999996,492.6348,435.9388,492.6348
6790,416.478,493.6017142857143,436.48685714285716,493.6017142857143
6860,416.863,494.5717142857143,437.04185714285717,494.5717142857143
6930,417.2506666666667,495.5408,437.598,495.5408
7000,417.64733333333334,496.5068,438.158,496.5068
7070,418.0442857142857,497.47142857142853,438.718,497.47142857142853
7140,418.4442857142857,498.4214285714286,439.278,498.4214285714286
7210,418.84514285714283,499.2921428571429,439.8324285714286,499.2921428571429
7280,419.25514285714286,499.31714285714287,440.3274285714286,499.31714285714287
7350,419.666,499.34119999999996,440.81879999999995,499.34119999999996
7420,420.08599999999996,499.35519999999997,441.27146666666664,499.35519999999997
7490,420.506,499.3692,441.7241333333333,499.3692
7560,420.93071428571426,499.3747142857143,442.15542857142856,499.3747142857143
7630,421.35571428571427,499.3797142857143,442.58542857142857,499.3797142857143
7700,421.7848,499.3888,442.9928,499.3888
7770,422.21413333333334,499.3981333333333,443.3988,499.3981333333333
7840,422.652,499.404,443.8,499.404
7910,423.092,499.409,444.2,499.409
7980,423.536,499.41400000000004,444.584,499.41400000000004
8050,423.981,499.41900000000004,444.964,499.41900000000004
8120,424.42466666666667,499.42373333333336,445.33866666666665,499.42373333333336
8190,424.868,499.4284,445.712,499.4284
8260,425.3157142857143,499.4332857142857,446.0798571428571,499.4332857142857
8330,425.7657142857143,499.4382857142857,446.44485714285713,499.4382857142857
8400,426.2144,499.44306666666665,446.8061333333333,499.44306666666665
8470,426.6624,499.4477333333333,447.16546666666665,499.4477333333333
8540,427.1114285714286,499.4525714285714,447.52,499.4525714285714
8610,427.56142857142856,499.4575714285714,447.87,499.4575714285714
8680,428.00885714285715,499.46,448.21742857142857,499.46
8750,428.45385714285715,499.46,448.5624285714286,499.46
8820,428.9004,499.4624,448.9028,499.4624
8890,429.3484,499.46706666666665,449.23879999999997,499.46706666666665
8960,429.7934285714286,499.4718571428572,449.57257142857145,499.4718571428572
9030,430.2334285714286,499.47685714285717,449.90257142857143,499.47685714285717
9100,430.67293333333333,499.48173333333335,450.23133333333334,499.48173333333335
9170,431.1116,499.4864,450.558,499.4864
