Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,300.0,300.0,300.0,300.0
600,300.08,400.29,317.46,401.30210145824054
1200,301.74,419.22,327.91,420.1777249130427
1800,305.79,431.64,336.54,432.54818620930473
2400,311.29,441.31,344.39,442.20617215731664
3000,317.55,449.31,351.83,450.1899285053656
3600,324.21,456.14,358.97,457.0128804749649
4200,331.07,462.01,365.88,462.8653571787192
4800,337.89,467.33,372.56,468.1574216566019
5400,344.5,472.18,378.91,472.98991918477697
6000,351.07,476.65,385.06,477.44140117296354
6600,357.6,480.8,391.04,481.5726259569063
7200,364.03,484.68,396.85,485.4310595908455
7800,370.35,488.27,402.49,489.00649020987066
8400,376.56,491.67,407.98,492.3906174691125
9000,382.5,494.91,413.32,495.60387996263506
9600,388.15,497.99,418.44,498.6638987235001
10200,393.73,500.93,423.39,501.58584660597654
10800,399.22,503.74,428.19,504.38281766775094
11400,404.59,506.42,432.84,507.0414677141223
12000,409.83,509.0,437.37,509.6013642203257
12600,414.94,511.48,441.77,512.0700149395632
13200,419.92,513.88,446.04,514.4541750933357
13800,424.77,516.2,450.2,516.7599204790938
14400,429.43,518.45,454.24,518.9927205778905
