Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,303.6,303.6,303.6,303.6
600,303.6,304.98,303.79,305.0
1200,303.61,306.89,304.19,306.93333333333334
1800,303.68,309.44,304.8,309.5
2400,303.83,312.94,305.71,313.03333333333336
3000,304.11,317.6,306.98,317.73333333333335
3600,304.56,323.62,308.73,323.8
4200,305.24,331.72,311.12,331.9666666666667
4800,306.2,341.74,314.21,342.06666666666666
5400,307.54,353.74,318.05,354.15
6000,309.32,367.59,322.74,368.1
6600,311.62,382.97,328.34,383.58333333333337
7200,314.53,399.32,334.68,400.0
7800,318.06,415.65,341.6,416.41666666666663
8400,322.25,431.08,348.99,431.9
9000,327.06,445.0,356.57,445.85
9600,332.4,457.1,364.11,457.9666666666667
10200,338.22,467.16,371.54,468.0333333333333
10800,344.44,475.33,378.72,476.2
11400,350.93,481.42,385.59,482.26666666666665
12000,357.45,486.16,392.11,486.96666666666664
12600,363.89,489.72,398.16,490.5
13200,370.33,492.32,403.85,493.06666666666666
13800,376.67,494.29,409.2,495.0
14400,382.87,495.72,414.24,496.4
