Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,100.0,100.0,100.0,100.0
600,100.59,282.25,135.28,284.18563901498277
1200,106.99,316.7,155.93,318.5049543873504
1800,118.55,339.3,173.69,340.9967021987359
2400,132.0,356.88,189.42,358.55667664966666
3000,146.31,371.42,204.53,373.0725972824829
3600,160.76,383.91,218.89,385.4779644999361
4200,174.47,394.59,232.09,396.1188312340349
4800,188.1,404.25,244.91,405.7407666483671
5400,201.57,413.07,257.35,414.52712579050353
6000,213.98,421.25,268.83,422.62072940538826
6600,226.14,428.79,279.91,430.1320471943751
7200,238.08,435.84,290.65,437.1473810742646
7800,249.67,442.39,301.04,443.6481640179468
8400,260.5,448.58,310.81,449.80112267111355
9000,271.12,454.46,320.25,455.6434181138819
9600,281.51,460.06,329.42,461.207088588182
10200,291.65,465.4,338.31,466.51972110177553
10800,301.08,470.53,346.82,471.6051230322745
11400,310.25,475.4,354.95,476.4390322074951
12000,319.23,480.08,362.83,481.0933894915012
12600,328.01,484.6,370.49,485.5818453446605
13200,336.57,488.96,377.93,489.91668198788307
13800,344.55,493.18,385.12,494.1089463256251
14400,352.29,497.27,392.0,498.1685828688918
