Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,103.6,103.6,103.6,103.6
600,103.6,104.98,103.82,105.0
1200,103.64,106.89,104.26,106.93333333333334
1800,103.76,109.43,104.96,109.5
2400,104.03,112.93,106.0,113.03333333333332
3000,104.49,117.59,107.45,117.73333333333332
3600,105.2,123.61,109.45,123.8
4200,106.23,131.7,112.18,131.96666666666667
4800,107.69,141.72,115.72,142.06666666666666
5400,109.66,153.71,120.12,154.15
6000,112.23,167.56,125.48,168.1
6600,115.5,182.94,131.89,183.58333333333337
7200,119.55,199.28,139.14,200.0
7800,124.37,215.61,147.03,216.41666666666663
8400,129.98,231.03,155.48,231.9
9000,136.27,244.96,164.03,245.85
9600,143.08,257.03,172.53,257.93333333333334
10200,150.35,267.13,180.91,268.0333333333333
10800,157.97,275.3,189.01,276.2
11400,165.78,281.4,196.74,282.26666666666665
12000,173.39,286.17,203.81,286.96666666666664
12600,180.66,289.73,210.26,290.5
13200,187.76,292.34,216.32,293.06666666666666
13800,194.64,294.31,221.99,295.0
14400,201.25,295.75,227.29,296.4
