Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,480.0,480.0,480.0,480.0
600,480.0,486.54,480.99,486.6666666666667
1200,480.05,493.15,482.57,493.3333333333333
1800,480.27,499.76,484.51,500.0
2400,480.77,499.84,485.74,500.0
3000,481.52,499.85,486.64,500.0
3600,482.4,499.87,487.41,500.0
4200,483.3,499.87,488.11,500.0
4800,484.18,499.88,488.76,500.0
5400,485.03,499.89,489.38,500.0
6000,485.84,499.89,489.95,500.0
6600,486.6,499.9,490.5,500.0
7200,487.33,499.91,491.01,500.0
7800,488.01,493.37,490.51,493.3333333333333
8400,488.62,486.77,489.39,486.6666666666667
9000,489.0,480.16,487.89,480.0
9600,489.09,480.09,487.07,480.0
10200,488.89,480.07,486.56,480.0
10800,488.53,480.07,486.15,480.0
11400,488.12,480.06,485.8,480.0
12000,487.7,480.06,485.48,480.0
12600,487.29,480.05,485.18,480.0
13200,486.9,480.05,484.9,480.0
13800,486.53,480.05,484.63,480.0
14400,486.17,480.05,484.38,480.0
