Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,200.0,200.0,200.0,200.0
600,200.15,313.51,220.35,314.7536816327829
1200,202.72,340.83,233.69,342.02238666090176
1800,208.44,359.32,245.32,360.5156108234745
2400,216.06,374.1,256.19,375.2434186968454
3000,224.53,386.46,266.26,387.6071311421557
3600,233.49,397.16,276.1,398.3077429459408
4200,242.73,406.46,285.71,407.598455487342
4800,252.12,414.95,295.12,416.0658179105774
5400,261.24,422.79,304.02,423.8535497945332
6000,270.18,430.02,312.61,431.0741701665325
6600,279.06,436.78,321.02,437.8152175231346
7200,287.85,443.13,329.24,444.1454698509348
7800,296.54,449.05,337.28,450.0468238194736
8400,304.83,454.7,345.03,455.656578511422
9000,312.82,460.07,352.45,461.0049007351351
9600,320.71,465.2,359.67,466.1178795807653
10200,328.48,470.12,366.72,471.018053632671
10800,336.12,474.84,373.61,475.7249381818275
11400,343.61,479.36,380.33,480.21700448955073
12000,350.65,483.72,386.85,484.5551055799827
12600,357.5,487.94,393.11,488.75056749937625
13200,364.26,492.02,399.21,492.8136038571878
13800,370.91,495.98,405.15,496.7534223441674
14400,377.43,499.82,410.96,500.57833125044806
