Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,300.0,300.0,300.0,300.0
600,300.01,332.69,305.96,333.3333333333333
1200,300.38,365.71,314.81,366.66666666666663
1800,301.91,398.8,325.37,400.0
2400,305.0,431.88,337.28,433.3333333333333
3000,309.67,465.01,350.3,466.66666666666663
3600,315.84,498.14,364.54,500.0
4200,323.42,498.57,374.07,500.0
4800,332.13,498.69,381.75,500.0
5400,341.17,498.78,388.68,500.0
6000,350.04,498.85,395.1,500.0
6600,358.21,498.93,401.1,500.0
7200,365.91,499.0,406.62,500.0
7800,373.26,499.05,411.8,500.0
8400,380.24,499.11,416.69,500.0
9000,386.85,499.16,421.29,500.0
9600,393.1,499.2,425.65,500.0
10200,398.97,499.25,429.75,500.0
10800,404.33,499.29,433.59,500.0
11400,409.46,499.33,437.21,500.0
12000,414.35,499.37,440.62,500.0
12600,418.99,499.4,443.84,500.0
13200,423.38,499.43,446.89,500.0
13800,427.53,499.46,449.77,500.0
14400,431.46,499.49,452.49,500.0
