Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,450.0,450.0,450.0,450.0
600,450.0,459.97,451.51,460.09
1200,450.09,464.14,452.9,464.26666666666665
1800,450.4,467.45,454.25,467.585
2400,450.94,470.22,455.58,470.36
3000,451.65,472.65,456.9,472.8
3600,452.51,474.84,458.22,475.0
4200,453.47,476.83,459.54,476.9916666666667
4800,454.51,478.69,460.86,478.85
5400,455.61,480.44,462.18,480.6
6000,456.76,482.09,463.51,482.26
6600,457.95,483.68,464.84,483.84333333333336
7200,459.18,485.19,466.17,485.36
7800,460.42,486.63,467.49,486.7933333333333
8400,461.68,488.01,468.8,488.18
9000,462.96,489.35,470.11,489.52
9600,464.24,490.65,471.42,490.81666666666666
10200,465.53,491.91,472.71,492.075
10800,466.83,493.13,474.0,493.3
11400,468.12,494.32,475.27,494.48333333333335
12000,469.41,495.48,476.53,495.64
12600,470.7,496.6,477.79,496.765
13200,471.98,497.7,479.02,497.86333333333334
13800,473.25,498.78,480.25,498.94166666666666
14400,474.52,499.84,481.47,500.0
