Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,100.7181954,100.7181954,100.7181954,100.7181954
600,100.72,102.57,101.14,102.6151182
1200,100.77,106.45,102.22,106.5551428
1800,100.99,114.34,104.55,114.5718409
2400,101.56,129.75,109.25,130.2201183
3000,102.84,157.56,117.96,158.4312594
3600,105.41,201.26,132.35,202.6905455
4200,110.04,256.94,152.3,258.9614593
4800,117.44,311.71,175.07,314.1015519
5400,127.8,353.46,196.95,355.938553
6000,140.62,379.57,215.97,381.9329448
6600,154.98,393.9,232.01,396.1326696
7200,170.18,401.27,245.88,403.3478261
7800,184.65,394.47,255.28,396.1326696
8400,198.45,380.61,261.36,381.9329448
9000,211.17,355.07,263.23,355.938553
9600,221.77,313.89,259.31,314.1015519
10200,230.33,259.45,249.08,258.9614593
10800,236.12,203.72,234.64,202.6905455
11400,238.51,159.72,219.61,158.4312594
12000,237.38,131.57,206.57,130.2201183
12600,233.28,115.84,195.92,114.5718409
13200,227.21,107.74,187.43,106.5551428
13800,220.13,103.71,180.4,102.6151182
14400,212.73,101.73,174.34,100.7181954
