Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,100.0,100.0,100.0,100.0
600,100.01,106.56,101.04,106.66666666666669
1200,100.18,113.17,102.81,113.33333333333331
1800,100.74,119.8,105.03,120.0
2400,101.76,129.7,108.14,130.0
3000,103.3,139.64,111.95,140.0
3600,105.44,149.58,116.21,150.0
4200,108.16,166.09,121.94,166.66666666666666
4800,111.57,182.66,128.81,183.33333333333331
5400,115.84,199.24,136.35,200.0
6000,120.94,232.23,147.06,233.33333333333331
6600,127.12,265.38,159.85,266.66666666666663
7200,134.77,298.55,174.08,300.0
7800,143.93,331.76,189.51,333.3333333333333
8400,154.44,364.93,205.92,366.66666666666663
9000,166.09,398.16,223.02,400.0
9600,178.93,415.0,238.94,416.6666666666667
10200,192.25,431.65,253.61,433.3333333333333
10800,206.02,448.3,268.33,450.0
11400,220.01,458.39,282.25,460.0
12000,233.33,468.44,295.1,470.0
12600,246.61,478.46,307.66,480.0
13200,259.76,485.2,319.6,486.6666666666667
13800,272.27,491.93,330.95,493.3333333333333
14400,284.32,498.63,341.76,500.0
