Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,150.0,150.0,150.0,150.0
600,150.02,164.26,153.54,164.27
1200,150.4,170.3,156.21,170.30599999999998
1800,151.34,174.93,158.68,174.938
2400,152.69,178.72,161.03,178.722
3000,154.31,182.27,163.39,182.28
3600,156.11,185.27,165.69,185.274
4200,158.05,188.14,167.99,188.15
4800,160.08,190.78,170.27,190.79
5400,162.18,193.25,172.53,193.258
6000,164.31,195.63,174.75,195.64
6600,166.41,197.83,176.88,197.836
7200,168.52,199.99,179.0,200.0
7800,170.62,192.12,178.84,192.124
8400,172.53,184.42,177.78,184.42
9000,173.95,178.24,176.5,178.234
9600,174.8,172.38,174.96,172.37400000000002
10200,175.13,167.17,173.3,167.166
10800,175.0,162.74,171.55,162.73000000000002
11400,174.51,158.69,169.76,158.68
12000,173.71,155.79,168.09,155.788
12600,172.69,153.19,166.43,153.184
13200,171.51,151.46,164.93,151.45
13800,170.22,150.39,163.6,150.386
14400,168.89,150.01,162.48,150.0
