Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,100.0,100.0,100.0,100.0
600,100.03,121.78,104.35,122.22222222222224
1200,100.64,143.78,110.95,144.44444444444446
1800,102.58,165.81,118.82,166.66666666666666
2400,106.01,187.86,127.91,188.88888888888889
3000,110.83,209.93,137.81,211.1111111111111
3600,116.91,232.01,148.72,233.33333333333331
4200,124.06,254.12,160.2,255.55555555555551
4800,132.22,276.21,172.5,277.77777777777777
5400,141.16,298.35,185.21,300.0
6000,150.87,320.45,198.57,322.2222222222222
6600,161.17,342.61,212.21,344.44444444444446
7200,172.06,364.73,226.37,366.66666666666663
7800,183.38,386.91,240.73,388.88888888888886
8400,195.15,409.04,255.48,411.1111111111111
9000,207.27,431.23,270.41,433.3333333333333
9600,219.72,453.37,285.62,455.55555555555554
10200,232.52,475.56,301.16,477.77777777777777
10800,245.59,497.7,316.88,500.0
11400,259.16,498.05,329.17,500.0
12000,272.79,498.22,339.86,500.0
12600,285.63,498.34,349.42,500.0
13200,297.97,498.44,358.27,500.0
13800,309.7,498.54,366.57,500.0
14400,320.47,498.63,374.35,500.0
