Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,190.0,190.0,190.0,190.0
600,190.0,196.67,191.51,196.66666666666663
1200,190.12,203.33,193.65,203.33333333333337
1800,190.56,210.0,196.16,210.0
2400,191.39,216.67,198.99,216.66666666666663
3000,192.62,223.33,202.09,223.33333333333337
3600,194.23,230.0,205.45,230.0
4200,196.18,236.67,209.02,236.66666666666669
4800,198.44,243.33,212.74,243.33333333333337
5400,200.98,250.0,216.68,250.0
6000,203.79,256.67,220.82,256.6666666666667
6600,206.87,263.33,225.13,263.33333333333337
7200,210.19,270.0,229.6,270.0
7800,213.74,276.67,234.22,276.6666666666667
8400,217.46,283.33,238.92,283.33333333333337
9000,221.3,290.0,243.68,290.0
9600,225.31,296.67,248.58,296.6666666666667
10200,229.48,303.33,253.6,303.33333333333337
10800,233.81,310.0,258.73,310.0
11400,238.3,316.67,263.97,316.6666666666667
12000,242.93,323.33,269.3,323.33333333333337
12600,247.59,330.0,274.59,330.0
13200,252.29,336.67,279.93,336.6666666666667
13800,257.1,343.33,285.35,343.33333333333337
14400,262.01,350.0,290.86,350.0
