Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,300.0,300.0,300.0,300.0
600,300.0,316.35,302.98,316.6666666666667
1200,300.19,332.85,307.46,333.3333333333333
1800,300.97,349.39,312.79,350.0
2400,302.54,365.93,318.82,366.66666666666663
3000,304.96,382.48,325.52,383.3333333333333
3600,308.18,399.06,332.71,400.0
4200,312.14,415.63,340.43,416.66666666666663
4800,316.8,432.2,348.7,433.3333333333333
5400,322.08,448.8,357.32,450.0
6000,327.95,465.38,366.39,466.66666666666663
6600,334.4,481.97,375.9,483.3333333333333
7200,341.25,498.57,385.77,500.0
7800,348.62,498.81,393.1,500.0
8400,356.38,498.9,399.36,500.0
9000,364.14,498.97,405.1,500.0
9600,371.65,499.03,410.46,500.0
10200,378.8,499.09,415.5,500.0
10800,385.29,499.14,420.21,500.0
11400,391.44,499.19,424.6,500.0
12000,397.31,499.24,428.72,500.0
12600,402.89,499.28,432.61,500.0
13200,408.17,499.32,436.28,500.0
13800,413.18,499.36,439.76,500.0
14400,417.91,499.39,443.04,500.0
