Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,200.0,200.0,200.0,200.0
600,200.01,216.34,203.1,216.66666666666663
1200,200.29,232.84,207.77,233.33333333333331
1800,201.32,249.37,213.35,250.0
2400,203.29,265.91,219.68,266.66666666666663
3000,206.2,282.46,226.74,283.3333333333333
3600,209.99,299.03,234.35,300.0
4200,214.58,315.59,242.52,316.66666666666663
4800,219.92,332.16,251.26,333.3333333333333
5400,225.9,348.76,260.33,350.0
6000,232.49,365.35,269.88,366.66666666666663
6600,239.68,381.93,279.9,383.3333333333333
7200,247.27,398.56,290.02,400.0
7800,255.34,398.8,297.68,400.0
8400,263.71,398.9,304.24,400.0
9000,271.95,398.97,310.25,400.0
9600,279.82,399.04,315.85,400.0
10200,287.17,399.12,321.05,400.0
10800,293.79,399.17,325.75,400.0
11400,300.05,399.22,330.16,400.0
12000,305.96,399.27,334.29,400.0
12600,311.52,399.31,338.18,400.0
13200,316.76,399.35,341.84,400.0
13800,321.69,399.39,345.29,400.0
14400,326.32,399.43,348.53,400.0
