Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,100.1290998,100.1290998,100.1290998,100.1290998
600,100.0,101.38,100.32,101.3756491
1200,100.04,103.96,101.05,103.9648081
1800,100.19,109.23,102.61,109.232924
2400,100.59,119.51,105.75,119.5160778
3000,101.45,138.04,111.6,138.0548276
3600,103.2,167.12,121.23,167.1395013
4200,106.37,204.09,134.67,204.1175304
4800,111.48,240.32,150.11,240.3524484
5400,118.71,267.81,164.99,267.8453348
6000,127.75,284.9,178.02,284.9273637
6600,137.79,294.23,188.89,294.2586115
7200,148.33,298.97,198.28,299.0
7800,158.86,294.24,204.97,294.2586115
8400,168.92,284.91,209.42,284.9273637
9000,177.47,267.84,210.67,267.8453348
9600,184.81,240.35,207.87,240.3524484
10200,190.46,204.13,200.82,204.1175304
10800,194.03,167.16,190.93,167.1395013
11400,195.14,138.08,180.67,138.0548276
12000,193.79,119.55,171.73,119.5160778
12600,190.47,109.26,164.54,109.232924
13200,185.94,103.98,158.73,103.9648081
13800,180.75,101.4,153.72,101.3756491
14400,175.31,100.15,149.35,100.1290998
