Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,400.0,400.0,400.0,400.0
600,400.0,409.97,401.51,410.09
1200,400.09,414.14,402.9,414.26666666666665
1800,400.4,417.45,404.26,417.585
2400,400.94,420.22,405.59,420.36
3000,401.66,422.65,406.91,422.8
3600,402.52,424.84,408.22,425.0
4200,403.48,426.83,409.55,426.9916666666667
4800,404.52,428.69,410.87,428.85
5400,405.63,430.44,412.2,430.6
6000,406.78,432.09,413.53,432.26
6600,407.98,433.68,414.86,433.84333333333336
7200,409.2,435.19,416.18,435.36
7800,410.45,436.62,417.51,436.7933333333333
8400,411.71,438.01,418.83,438.18
9000,412.99,439.35,420.14,439.52
9600,414.27,440.65,421.44,440.81666666666666
10200,415.57,441.91,422.74,442.075
10800,416.86,443.13,424.02,443.3
11400,418.15,444.32,425.3,444.48333333333335
12000,419.45,445.48,426.56,445.64
12600,420.73,446.6,427.81,446.765
13200,422.01,447.7,429.05,447.86333333333334
13800,423.28,448.78,430.27,448.94166666666666
14400,424.55,449.84,431.49,450.0
