Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,110.0,110.0,110.0,110.0
600,110.01,120.42,112.45,120.41666666666669
1200,110.29,130.83,115.94,130.83333333333334
1800,111.2,141.25,120.05,141.25
2400,112.83,151.67,124.7,151.66666666666669
3000,115.13,162.08,129.73,162.08333333333334
3600,118.04,172.5,135.19,172.5
4200,121.52,182.92,141.05,182.91666666666669
4800,125.54,193.33,147.27,193.33333333333337
5400,130.03,203.75,153.74,203.75
6000,134.84,214.17,160.39,214.16666666666669
6600,140.04,224.58,167.35,224.58333333333337
7200,145.62,235.0,174.58,235.0
7800,151.56,245.42,182.05,245.41666666666669
8400,157.58,255.83,189.45,255.83333333333337
9000,163.85,266.25,197.09,266.25
9600,170.39,276.67,204.95,276.6666666666667
10200,177.21,287.08,212.99,287.08333333333337
10800,184.07,297.5,220.98,297.5
11400,191.01,307.92,229.04,307.9166666666667
12000,198.14,318.33,237.28,318.33333333333337
12600,205.49,328.75,245.67,328.75
13200,212.96,339.17,254.1,339.1666666666667
13800,220.34,349.58,262.43,349.58333333333337
14400,227.89,360.0,270.93,360.0
