Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,250.0,250.0,250.0,250.0
600,250.0,254.17,250.93,254.16666666666663
1200,250.06,258.33,252.23,258.3333333333333
1800,250.29,262.5,253.76,262.5
2400,250.74,266.67,255.48,266.6666666666667
3000,251.43,270.83,257.36,270.8333333333333
3600,252.33,275.0,259.4,275.0
4200,253.45,279.17,261.57,279.1666666666667
4800,254.77,283.33,263.88,283.3333333333333
5400,256.28,287.5,266.3,287.5
6000,257.96,291.67,268.84,291.6666666666667
6600,259.8,295.83,271.48,295.8333333333333
7200,261.76,300.0,274.16,300.0
7800,263.85,304.17,276.95,304.1666666666667
8400,266.06,308.33,279.82,308.3333333333333
9000,268.39,312.5,282.79,312.5
9600,270.84,316.67,285.83,316.66666666666663
10200,273.4,320.83,288.94,320.8333333333333
10800,276.06,325.0,292.12,325.0
11400,278.82,329.17,295.36,329.16666666666663
12000,281.66,333.33,298.66,333.3333333333333
12600,284.59,337.5,302.02,337.5
13200,287.58,341.67,305.39,341.66666666666663
13800,290.55,345.83,308.74,345.8333333333333
14400,293.58,350.0,312.14,350.0
