Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,200.0,200.0,200.0,200.0
600,200.0,204.17,200.93,204.16666666666663
1200,200.07,208.33,202.24,208.33333333333337
1800,200.33,212.5,203.79,212.5
2400,200.83,216.67,205.53,216.66666666666663
3000,201.57,220.83,207.44,220.83333333333337
3600,202.54,225.0,209.51,225.0
4200,203.73,229.17,211.72,229.16666666666663
4800,205.13,233.33,214.07,233.33333333333331
5400,206.72,237.5,216.54,237.5
6000,208.48,241.67,219.13,241.66666666666663
6600,210.41,245.83,221.82,245.83333333333331
7200,212.46,250.0,224.55,250.0
7800,214.63,254.17,227.39,254.16666666666663
8400,216.93,258.33,230.33,258.3333333333333
9000,219.35,262.5,233.34,262.5
9600,221.89,266.67,236.44,266.66666666666663
10200,224.54,270.83,239.6,270.8333333333333
10800,227.28,275.0,242.84,275.0
11400,230.13,279.17,246.13,279.16666666666663
12000,233.06,283.33,249.49,283.3333333333333
12600,236.08,287.5,252.9,287.5
13200,239.14,291.67,256.33,291.66666666666663
13800,242.19,295.83,259.72,295.8333333333333
14400,245.29,300.0,263.17,300.0
