Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,200.0,200.0,200.0,200.0
600,200.0,207.29,201.65,207.29166666666663
1200,200.13,214.58,203.97,214.58333333333337
1800,200.59,221.88,206.71,221.875
2400,201.47,229.17,209.78,229.16666666666663
3000,202.78,236.46,213.16,236.45833333333337
3600,204.51,243.75,216.8,243.75
4200,206.6,251.04,220.63,251.04166666666663
4800,209.02,258.33,224.7,258.3333333333333
5400,211.76,265.63,229.0,265.625
6000,214.8,272.92,233.5,272.9166666666667
6600,218.13,280.21,238.19,280.2083333333333
7200,221.73,287.5,243.06,287.5
7800,225.52,294.79,248.0,294.7916666666667
8400,229.48,302.08,253.06,302.0833333333333
9000,233.64,309.38,258.28,309.375
9600,238.0,316.67,263.64,316.6666666666667
10200,242.54,323.96,269.12,323.9583333333333
10800,247.27,331.25,274.73,331.25
11400,252.11,338.54,280.36,338.54166666666663
12000,256.97,345.83,286.0,345.83333333333337
12600,261.96,353.13,291.76,353.125
13200,267.09,360.42,297.62,360.41666666666663
13800,272.35,367.71,303.57,367.70833333333337
14400,277.73,375.0,309.61,375.0
