Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,100.0,100.0,100.0,100.0
600,100.01,106.25,101.45,106.25
1200,100.18,112.5,103.53,112.5
1800,100.73,118.75,105.99,118.75
2400,101.71,125.0,108.77,125.0
3000,103.12,131.25,111.83,131.25
3600,104.91,137.5,115.15,137.5
4200,107.06,143.75,118.71,143.75
4800,109.52,150.0,122.41,150.0
5400,112.25,156.25,126.32,156.25
6000,115.24,162.5,130.41,162.5
6600,118.48,168.75,134.68,168.75
7200,121.96,175.0,139.11,175.0
7800,125.66,181.25,143.68,181.25
8400,129.56,187.5,148.38,187.5
9000,133.56,193.75,153.1,193.75
9600,137.61,200.0,157.86,200.0
10200,141.8,206.25,162.74,206.25
10800,146.15,212.5,167.73,212.5
11400,150.63,218.75,172.81,218.75
12000,155.24,225.0,177.98,225.0
12600,159.98,231.25,183.24,231.25
13200,164.77,237.5,188.49,237.5
13800,169.44,243.75,193.65,243.75
14400,174.2,250.0,198.9,250.0
