Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,140.0,140.0,140.0,140.0
600,140.0,144.17,140.95,144.16666666666666
1200,140.1,148.33,142.31,148.33333333333334
1800,140.42,152.5,143.91,152.5
2400,141.01,156.67,145.72,156.66666666666666
3000,141.86,160.83,147.71,160.83333333333334
3600,142.97,165.0,149.86,165.0
4200,144.31,169.17,152.17,169.16666666666666
4800,145.86,173.33,154.62,173.33333333333331
5400,147.61,177.5,157.2,177.5
6000,149.55,181.67,159.9,181.66666666666663
6600,151.65,185.83,162.7,185.83333333333331
7200,153.85,190.0,165.53,190.0
7800,156.18,194.17,168.47,194.16666666666663
8400,158.63,198.33,171.51,198.33333333333331
9000,161.21,202.5,174.63,202.5
9600,163.9,206.67,177.82,206.66666666666663
10200,166.7,210.83,181.09,210.83333333333331
10800,169.61,215.0,184.43,215.0
11400,172.6,219.17,187.82,219.16666666666663
12000,175.68,223.33,191.27,223.33333333333331
12600,178.84,227.5,194.78,227.5
13200,182.04,231.67,198.29,231.66666666666663
13800,185.17,235.83,201.73,235.83333333333331
14400,188.35,240.0,205.24,240.0
