Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,205.0,205.0,205.0,205.0
600,205.0,212.29,206.65,212.29166666666663
1200,205.13,219.58,208.96,219.58333333333337
1800,205.58,226.88,211.69,226.875
2400,206.45,234.17,214.76,234.16666666666663
3000,207.75,241.46,218.12,241.45833333333337
3600,209.46,248.75,221.76,248.75
4200,211.53,256.04,225.58,256.0416666666667
4800,213.94,263.33,229.64,263.3333333333333
5400,216.66,270.63,233.93,270.625
6000,219.69,277.92,238.42,277.9166666666667
6600,223.0,285.21,243.1,285.2083333333333
7200,226.58,292.5,247.96,292.5
7800,230.36,299.79,252.89,299.7916666666667
8400,234.3,307.08,257.93,307.0833333333333
9000,238.44,314.38,263.14,314.375
9600,242.78,321.67,268.49,321.6666666666667
10200,247.31,328.96,273.96,328.9583333333333
10800,252.02,336.25,279.55,336.25
11400,256.84,343.54,285.18,343.54166666666663
12000,261.69,350.83,290.8,350.83333333333337
12600,266.66,358.13,296.55,358.125
13200,271.77,365.42,302.4,365.41666666666663
13800,277.02,372.71,308.34,372.70833333333337
14400,282.38,380.0,314.37,380.0
