Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,300.0,300.0,300.0,300.0
600,300.0,316.34,302.6,316.6666666666667
1200,300.19,332.85,306.74,333.3333333333333
1800,300.97,349.39,311.79,350.0
2400,302.54,349.58,315.0,350.0
3000,304.78,349.63,317.37,350.0
3600,307.26,349.65,319.43,350.0
4200,309.75,349.68,321.3,350.0
4800,312.14,349.7,323.04,350.0
5400,314.41,349.72,324.67,350.0
6000,316.55,349.73,326.19,350.0
6600,318.56,349.75,327.63,350.0
7200,320.45,349.76,328.97,350.0
7800,322.23,333.43,327.68,333.3333333333333
8400,323.72,316.94,324.78,316.6666666666667
9000,324.54,300.42,320.86,300.0
9600,324.48,300.24,318.65,270.0
10200,323.67,300.2,317.26,240.0
10800,322.51,300.19,316.12,210.0
11400,321.26,300.17,315.12,180.0
12000,320.02,300.16,314.21,150.0
12600,318.84,300.15,313.35,120.0
13200,317.72,300.14,312.55,90.0
13800,316.66,300.13,311.8,60.0
14400,315.67,300.13,311.1,30.0
