Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,350.0,350.0,350.0,350.0
600,350.0,366.35,352.54,366.6666666666667
1200,350.15,382.86,356.58,383.3333333333333
1800,350.82,399.4,361.51,400.0
2400,352.21,399.59,364.62,400.0
3000,354.25,399.63,366.91,400.0
3600,356.57,399.66,368.89,400.0
4200,358.93,399.68,370.7,400.0
4800,361.21,399.7,372.37,400.0
5400,363.4,399.72,373.94,400.0
6000,365.46,399.74,375.42,400.0
6600,367.42,399.75,376.81,400.0
7200,369.26,399.76,378.13,400.0
7800,371.0,383.43,376.87,383.3333333333333
8400,372.5,366.93,374.04,366.6666666666667
9000,373.41,350.41,370.23,350.0
9600,373.51,350.23,368.11,350.0
10200,372.88,350.19,366.79,350.0
10800,371.89,350.17,365.73,350.0
11400,370.77,350.16,364.8,350.0
12000,369.64,350.15,363.95,350.0
12600,368.56,350.14,363.16,350.0
13200,367.52,350.13,362.41,350.0
13800,366.54,350.13,361.71,350.0
14400,365.61,350.12,361.05,350.0
