Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,350.0,350.0,350.0,350.0
600,350.0,354.9,350.76,355.0
1200,350.05,359.86,351.98,360.0
1800,350.25,364.82,353.47,365.0
2400,350.67,364.88,354.42,365.0
3000,351.29,364.89,355.11,365.0
3600,352.0,364.9,355.72,365.0
4200,352.71,364.9,356.26,365.0
4800,353.41,364.91,356.77,365.0
5400,354.07,364.92,357.25,365.0
6000,354.7,364.92,357.69,365.0
6600,355.29,364.92,358.11,365.0
7200,355.85,364.93,358.51,365.0
7800,356.38,360.03,358.12,360.0
8400,356.83,355.08,357.26,355.0
9000,357.1,350.13,356.1,350.0
9600,357.12,350.07,355.46,350.0
10200,356.91,350.06,355.06,350.0
10800,356.59,350.05,354.74,350.0
11400,356.25,350.05,354.45,350.0
12000,355.9,350.05,354.19,350.0
12600,355.56,350.04,353.95,350.0
13200,355.24,350.04,353.72,350.0
13800,354.94,350.04,353.51,350.0
14400,354.66,350.04,353.3,350.0
