Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,200.0,200.0,200.0,200.0
600,200.01,216.34,202.71,216.66666666666663
1200,200.29,232.83,207.06,233.33333333333331
1800,201.32,249.37,212.37,250.0
2400,203.28,249.56,215.78,250.0
3000,205.92,249.61,218.32,250.0
3600,208.73,249.64,220.53,250.0
4200,211.48,249.67,222.55,250.0
4800,214.07,249.69,224.42,250.0
5400,216.5,249.71,226.16,250.0
6000,218.77,249.73,227.77,250.0
6600,220.89,249.75,229.28,250.0
7200,222.86,249.77,230.69,250.0
7800,224.69,233.45,229.32,233.33333333333337
8400,226.14,216.96,226.24,216.66666666666669
9000,226.74,200.45,222.09,200.0
9600,226.32,200.26,219.69,200.0
10200,225.11,200.23,218.13,200.0
10800,223.61,200.21,216.84,200.0
11400,222.09,200.19,215.68,200.0
12000,220.63,200.18,214.62,200.0
12600,219.25,200.17,213.64,200.0
13200,217.95,200.15,212.72,200.0
13800,216.75,200.14,211.87,200.0
14400,215.62,200.13,211.07,200.0
