Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,450.0,450.0,450.0,450.0
600,450.0,466.35,452.48,466.6666666666667
1200,450.12,482.86,456.43,483.3333333333333
1800,450.68,499.4,461.27,500.0
2400,451.92,499.59,464.35,500.0
3000,453.8,499.64,466.6,500.0
3600,455.99,499.66,468.53,500.0
4200,458.25,499.69,470.28,500.0
4800,460.46,499.7,471.91,500.0
5400,462.58,499.72,473.44,500.0
6000,464.59,499.74,474.88,500.0
6600,466.51,499.75,476.24,500.0
7200,468.32,499.76,477.53,500.0
7800,470.03,483.43,476.27,483.3333333333333
8400,471.54,466.93,473.47,466.6666666666667
9000,472.51,450.4,469.72,450.0
9600,472.72,450.22,467.66,450.0
10200,472.22,450.19,466.39,450.0
10800,471.32,450.17,465.38,450.0
11400,470.3,450.15,464.5,450.0
12000,469.25,450.15,463.69,450.0
12600,468.23,450.14,462.95,450.0
13200,467.25,450.13,462.24,450.0
13800,466.32,450.12,461.58,450.0
14400,465.44,450.12,460.95,450.0
