Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,200.0,200.0,200.0,200.0
600,200.0,208.82,201.47,209.0
1200,200.16,217.73,203.81,218.0
1800,200.71,226.65,206.7,227.0
2400,201.78,226.76,208.58,227.0
3000,203.23,226.79,209.97,227.0
3600,204.78,226.81,211.18,227.0
4200,206.28,226.82,212.28,227.0
4800,207.7,226.83,213.3,227.0
5400,209.02,226.84,214.24,227.0
6000,210.26,226.85,215.12,227.0
6600,211.41,226.86,215.94,227.0
7200,212.49,226.87,216.7,227.0
7800,213.48,218.06,215.95,218.0
8400,214.26,209.16,214.26,209.0
9000,214.57,200.25,211.98,200.0
9600,214.31,200.14,210.68,200.0
10200,213.61,200.12,209.83,200.0
10800,212.77,200.11,209.11,200.0
11400,211.92,200.1,208.47,200.0
12000,211.11,200.1,207.89,200.0
12600,210.34,200.09,207.34,200.0
13200,209.63,200.08,206.84,200.0
13800,208.97,200.08,206.36,200.0
14400,208.35,200.07,205.93,200.0
