Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,400.0,400.0,400.0,400.0
600,400.0,408.18,401.43,408.3333333333333
1200,400.06,416.43,403.59,416.6666666666667
1800,400.35,424.7,406.16,425.0
2400,400.97,432.97,409.08,433.3333333333333
3000,401.98,441.25,412.3,441.6666666666667
3600,403.36,449.54,415.8,450.0
4200,405.12,457.82,419.57,458.3333333333333
4800,407.22,466.11,423.58,466.66666666666663
5400,409.66,474.4,427.83,475.0
6000,412.42,482.69,432.29,483.3333333333333
6600,415.48,490.98,436.97,491.66666666666663
7200,418.82,499.28,441.85,500.0
7800,422.43,499.4,445.48,500.0
8400,426.24,499.44,448.57,500.0
9000,430.07,499.48,451.41,500.0
9600,433.79,499.51,454.06,500.0
10200,437.34,499.54,456.56,500.0
10800,440.72,499.56,458.91,500.0
11400,443.93,499.59,461.14,500.0
12000,446.96,499.61,463.24,500.0
12600,449.84,499.63,465.23,500.0
13200,452.55,499.65,467.12,500.0
13800,455.12,499.67,468.9,500.0
14400,457.55,499.69,470.58,500.0
