Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,400.0,400.0,400.0,400.0
600,400.0,405.45,400.96,405.55555555555554
1200,400.04,410.96,402.39,411.1111111111111
1800,400.23,416.47,404.11,416.6666666666667
2400,400.65,421.98,406.05,422.22222222222223
3000,401.32,427.5,408.2,427.77777777777777
3600,402.24,433.02,410.54,433.3333333333333
4200,403.42,438.55,413.05,438.8888888888889
4800,404.83,444.07,415.74,444.44444444444446
5400,406.46,449.6,418.57,450.0
6000,408.3,455.13,421.54,455.55555555555554
6600,410.33,460.66,424.66,461.1111111111111
7200,412.56,466.19,427.91,466.66666666666663
7800,414.97,471.72,431.28,472.22222222222223
8400,417.55,477.25,434.78,477.77777777777777
9000,420.29,482.79,438.38,483.3333333333333
9600,423.18,488.32,442.09,488.8888888888889
10200,426.22,493.86,445.9,494.44444444444446
10800,429.39,499.4,449.81,500.0
11400,432.69,499.48,452.84,500.0
12000,436.07,499.52,455.49,500.0
12600,439.43,499.55,457.94,500.0
13200,442.66,499.57,460.23,500.0
13800,445.75,499.6,462.39,500.0
14400,448.68,499.62,464.43,500.0
