Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,300.0,300.0,300.0,300.0
600,300.0,310.9,301.99,311.1111111111111
1200,300.13,321.9,304.97,322.22222222222223
1800,300.65,332.92,308.55,333.3333333333333
2400,301.71,343.95,312.63,344.44444444444446
3000,303.33,354.99,317.06,355.55555555555554
3600,305.5,366.03,321.92,366.66666666666663
4200,308.19,377.08,327.16,377.77777777777777
4800,311.37,388.12,332.76,388.8888888888889
5400,314.99,399.19,338.55,400.0
6000,318.99,410.25,344.65,411.1111111111111
6600,323.38,421.3,351.05,422.22222222222223
7200,328.15,432.37,357.74,433.3333333333333
7800,333.21,443.45,364.59,444.44444444444446
8400,338.54,454.51,371.63,455.55555555555554
9000,344.17,465.58,378.9,466.66666666666663
9600,350.1,476.66,386.39,477.77777777777777
10200,356.23,487.74,394.09,488.8888888888889
10800,362.52,498.81,401.9,500.0
11400,369.09,498.99,407.96,500.0
12000,375.83,499.06,413.23,500.0
12600,382.5,499.12,418.1,500.0
13200,388.92,499.17,422.67,500.0
13800,395.04,499.21,426.96,500.0
14400,400.76,499.26,431.0,500.0
