Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,300.0,300.0,300.0,300.0
600,300.0,308.17,301.49,308.3333333333333
1200,300.09,316.43,303.73,316.6666666666667
1800,300.48,324.69,306.42,325.0
2400,301.28,332.96,309.47,333.3333333333333
3000,302.51,341.24,312.86,341.6666666666667
3600,304.16,349.53,316.51,350.0
4200,306.18,357.81,320.42,358.3333333333333
4800,308.57,366.09,324.6,366.66666666666663
5400,311.31,374.38,329.04,375.0
6000,314.38,382.67,333.71,383.3333333333333
6600,317.76,390.97,338.6,391.66666666666663
7200,321.37,399.28,343.55,400.0
7800,325.21,399.4,347.27,400.0
8400,329.21,399.45,350.44,400.0
9000,333.19,399.48,353.36,400.0
9600,337.02,399.51,356.09,400.0
10200,340.66,399.54,358.64,400.0
10800,344.09,399.57,361.05,400.0
11400,347.34,399.59,363.31,400.0
12000,350.39,399.62,365.44,400.0
12600,353.27,399.64,367.45,400.0
13200,355.99,399.66,369.34,400.0
13800,358.54,399.68,371.12,400.0
14400,360.95,399.7,372.79,400.0
