Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,200.0,200.0,200.0,200.0
600,200.01,210.89,202.06,211.11111111111111
1200,200.19,221.89,205.18,222.22222222222223
1800,200.88,232.91,208.93,233.33333333333331
2400,202.21,243.93,213.21,244.44444444444449
3000,204.17,254.97,217.89,255.55555555555551
3600,206.72,266.01,223.01,266.66666666666663
4200,209.84,277.05,228.55,277.77777777777777
4800,213.49,288.1,234.47,288.8888888888889
5400,217.58,299.17,240.61,300.0
6000,222.07,310.22,247.06,311.1111111111111
6600,226.98,321.28,253.83,322.22222222222223
7200,232.29,332.34,260.89,333.3333333333333
7800,237.88,343.43,268.06,344.44444444444446
8400,243.73,354.5,275.44,355.55555555555554
9000,249.87,365.57,283.06,366.66666666666663
9600,256.32,376.64,290.91,377.77777777777777
10200,262.96,387.74,298.82,388.8888888888889
10800,269.73,398.82,306.81,400.0
11400,276.71,399.0,313.07,400.0
12000,283.81,399.07,318.51,400.0
12600,290.75,399.13,323.53,400.0
13200,297.35,399.18,328.22,400.0
13800,303.6,399.24,332.6,400.0
14400,309.28,399.3,336.63,400.0
