Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,200.4485547,200.4485547,200.4485547,200.4485547
600,200.45,203.08,201.03,203.13792
1200,200.49,208.53,202.48,208.6778148
1800,200.7,219.44,205.55,219.7613942
2400,201.27,240.07,211.59,240.6959236
3000,202.55,275.16,222.21,276.257589
3600,205.08,325.33,238.44,327.0179984
4200,209.56,381.88,258.89,384.0100329
4800,216.52,430.71,280.12,433.0575753
5400,226.05,464.12,299.37,466.5005763
6000,237.57,483.61,315.68,485.8456219
6600,250.44,493.89,329.48,495.9870971
7200,263.99,499.07,341.45,501.030303
7800,277.03,494.34,350.39,495.9870971
8400,289.7,484.46,356.82,485.8456219
9000,301.67,465.49,360.02,466.5005763
9600,312.23,432.58,358.49,433.0575753
10200,321.18,384.19,351.01,384.0100329
10800,328.14,327.8,338.44,327.0179984
11400,332.5,277.4,323.79,276.257589
12000,333.81,241.96,310.16,240.6959236
12600,332.15,221.01,298.95,219.7613942
13200,328.13,209.84,290.1,208.6778148
13800,322.6,204.21,282.99,203.13792
14400,316.32,201.44,277.03,200.4485547
