Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,100.0,100.0,100.0,100.0
600,100.01,110.89,102.18,111.11111111111111
1200,100.32,121.89,105.48,122.22222222222224
1800,101.3,132.9,109.48,133.33333333333331
2400,103.05,143.93,114.08,144.44444444444446
3000,105.51,154.96,119.1,155.55555555555554
3600,108.64,166.0,124.63,166.66666666666666
4200,112.38,177.04,130.61,177.77777777777777
4800,116.7,188.09,137.0,188.88888888888889
5400,121.46,199.16,143.58,200.0
6000,126.62,210.22,150.49,211.1111111111111
6600,132.21,221.28,157.74,222.22222222222223
7200,138.21,232.34,165.28,233.33333333333331
7800,144.43,243.43,172.89,244.44444444444443
8400,150.86,254.5,180.67,255.55555555555551
9000,157.6,265.57,188.7,266.66666666666663
9600,164.64,276.64,196.97,277.77777777777777
10200,171.8,287.75,205.25,288.8888888888889
10800,179.01,298.82,213.56,300.0
11400,186.45,299.01,220.06,300.0
12000,193.94,299.09,225.7,300.0
12600,201.15,299.15,230.87,300.0
13200,207.95,299.21,235.66,300.0
13800,214.3,299.27,240.11,300.0
14400,219.85,299.33,244.07,300.0
