Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,200.0,200.0,200.0,200.0
600,200.0,206.53,201.09,206.66666666666663
1200,200.11,213.13,202.82,213.33333333333337
1800,200.53,219.74,204.97,220.0
2400,201.32,219.82,206.35,220.0
3000,202.39,219.84,207.38,220.0
3600,203.54,219.86,208.28,220.0
4200,204.65,219.87,209.1,220.0
4800,205.7,219.88,209.85,220.0
5400,206.68,219.88,210.55,220.0
6000,207.6,219.89,211.2,220.0
6600,208.46,219.9,211.81,220.0
7200,209.25,219.91,212.37,220.0
7800,209.99,213.38,211.81,213.33333333333337
8400,210.57,206.79,210.56,206.66666666666663
9000,210.79,200.18,208.88,200.0
9600,210.6,200.11,207.91,200.0
10200,210.08,200.09,207.28,200.0
10800,209.46,200.08,206.75,200.0
11400,208.83,200.08,206.28,200.0
12000,208.23,200.07,205.84,200.0
12600,207.66,200.07,205.44,200.0
13200,207.14,200.06,205.06,200.0
13800,206.64,200.06,204.71,200.0
14400,206.19,200.05,204.39,200.0
