Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,200.0,200.0,200.0,200.0
600,200.0,205.45,201.03,205.55555555555551
1200,200.1,210.95,202.59,211.11111111111111
1800,200.44,216.45,204.46,216.66666666666663
2400,201.11,221.97,206.61,222.22222222222223
3000,202.09,227.48,208.99,227.77777777777777
3600,203.39,233.0,211.59,233.33333333333331
4200,204.99,238.52,214.4,238.88888888888889
4800,206.85,244.05,217.39,244.44444444444449
5400,208.95,249.58,220.5,250.0
6000,211.25,255.11,223.77,255.55555555555551
6600,213.76,260.64,227.2,261.1111111111111
7200,216.47,266.17,230.78,266.66666666666663
7800,219.37,271.7,234.49,272.22222222222223
8400,222.45,277.23,238.32,277.77777777777777
9000,225.69,282.77,242.27,283.3333333333333
9600,229.09,288.31,246.33,288.8888888888889
10200,232.59,293.86,250.42,294.44444444444446
10800,236.15,299.4,254.54,300.0
11400,239.81,299.49,257.76,300.0
12000,243.52,299.53,260.57,300.0
12600,247.11,299.56,263.15,300.0
13200,250.51,299.59,265.54,300.0
13800,253.71,299.62,267.78,300.0
14400,256.71,299.64,269.86,300.0
