Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,220.0,220.0,220.0,220.0
600,220.0,227.92,221.78,227.91666666666663
1200,220.13,235.83,224.28,235.83333333333337
1800,220.6,243.75,227.23,243.75
2400,221.52,251.67,230.54,251.66666666666663
3000,222.89,259.58,234.16,259.5833333333333
3600,224.7,267.5,238.05,267.5
4200,226.89,275.42,242.17,275.4166666666667
4800,229.45,283.33,246.55,283.3333333333333
5400,232.35,291.25,251.18,291.25
6000,235.58,299.17,256.02,299.1666666666667
6600,239.13,307.08,261.07,307.0833333333333
7200,242.91,315.0,266.21,315.0
7800,246.9,322.92,271.49,322.9166666666667
8400,251.12,330.83,276.96,330.8333333333333
9000,255.56,338.75,282.59,338.75
9600,260.23,346.67,288.37,346.6666666666667
10200,265.1,354.58,294.29,354.58333333333337
10800,270.03,362.5,300.15,362.5
11400,275.09,370.42,306.14,370.41666666666663
12000,280.3,378.33,312.27,378.33333333333337
12600,285.67,386.25,318.5,386.25
13200,291.2,394.17,324.84,394.16666666666663
13800,296.84,402.08,331.24,402.08333333333337
14400,302.43,410.0,337.54,410.0
