Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,100.0,100.0,100.0,100.0
600,100.02,116.33,102.89,116.66666666666666
1200,100.48,132.83,107.54,133.33333333333331
1800,101.95,149.36,113.24,150.0
2400,104.52,149.56,116.95,150.0
3000,107.75,149.61,119.75,150.0
3600,111.02,149.64,122.21,150.0
4200,114.1,149.67,124.44,150.0
4800,116.96,149.7,126.48,150.0
5400,119.6,149.72,128.36,150.0
6000,122.03,149.74,130.09,150.0
6600,124.26,149.76,131.68,150.0
7200,126.32,149.78,133.14,150.0
7800,128.19,133.47,131.64,133.33333333333334
8400,129.49,116.99,128.3,116.66666666666669
9000,129.67,100.48,123.76,100.0
9600,128.66,100.29,121.06,100.0
10200,126.86,100.25,119.24,100.0
10800,124.89,100.23,117.69,100.0
11400,122.98,100.21,116.29,100.0
12000,121.19,100.2,115.02,100.0
12600,119.54,100.18,113.84,100.0
13200,118.02,100.17,112.76,100.0
13800,116.61,100.15,111.77,100.0
14400,115.31,100.14,110.85,100.0
