Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,22.23105954,22.23105954,22.23105954,22.23105954
600,22.231,23.57,22.537,23.59900533
1200,22.267,26.394,23.323,26.47033259
1800,22.424,32.269,25.047,32.44087838
2400,22.848,44.259,28.655,44.61672176
3000,23.816,67.767,35.881,68.49098739
3600,25.869,110.54,49.437,111.894935
4200,29.959,178.7,72.117,180.9460483
4800,37.483,267.29,103.94,270.466535
5400,49.753,356.35,140.52,360.1240364
6000,67.083,425.62,176.02,429.4685485
6600,88.491,469.36,207.02,473.1408868
7200,112.2,493.65,233.12,497.1904762
7800,136.47,470.6,247.95,473.1408868
8400,159.01,427.79,253.46,429.4685485
9000,178.54,359.51,248.87,360.1240364
9600,194.37,270.98,234.04,270.466535
10200,205.5,182.32,212.49,180.9460483
10800,211.0,113.69,190.01,111.894935
11400,210.67,70.368,170.56,68.49098739
12000,205.45,46.402,155.02,44.61672176
12600,196.98,34.117,142.68,32.44087838
13200,186.68,28.017,132.32,26.47033259
13800,175.84,25.027,123.44,23.59900533
14400,165.14,23.549,115.6,22.23105954
