Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,100.0,100.0,100.0,100.0
600,100.0,102.08,100.49,102.08333333333331
1200,100.06,104.17,101.19,104.16666666666669
1800,100.25,106.25,102.02,106.25
2400,100.58,108.33,102.95,108.33333333333331
3000,101.05,110.42,103.98,110.41666666666669
3600,101.66,112.5,105.1,112.5
4200,102.38,114.58,106.3,114.58333333333331
4800,103.22,116.67,107.56,116.66666666666666
5400,104.16,118.75,108.9,118.75
6000,105.19,120.83,110.29,120.83333333333331
6600,106.31,122.92,111.75,122.91666666666666
7200,107.51,125.0,113.25,125.0
7800,108.78,127.08,114.8,127.08333333333331
8400,110.11,129.17,116.4,129.16666666666666
9000,111.51,131.25,118.03,131.25
9600,112.96,133.33,119.7,133.33333333333331
10200,114.47,135.42,121.41,135.41666666666666
10800,116.02,137.5,123.15,137.5
11400,117.62,139.58,124.91,139.58333333333331
12000,119.26,141.67,126.7,141.66666666666666
12600,120.93,143.75,128.52,143.75
13200,122.62,145.83,130.33,145.83333333333331
13800,124.29,147.92,132.12,147.91666666666666
14400,125.98,150.0,133.94,150.0
