Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,200.0,200.0,200.0,200.0
600,200.0,208.17,201.55,208.33333333333337
1200,200.14,216.42,203.88,216.66666666666663
1800,200.66,224.68,206.7,225.0
2400,201.66,232.95,209.91,233.33333333333331
3000,203.14,241.22,213.48,241.66666666666663
3600,205.08,249.51,217.33,250.0
4200,207.43,257.79,221.47,258.3333333333333
4800,210.16,266.08,225.89,266.66666666666663
5400,213.27,274.36,230.59,275.0
6000,216.72,282.66,235.53,283.3333333333333
6600,220.5,290.95,240.7,291.66666666666663
7200,224.5,299.26,245.92,300.0
7800,228.73,299.39,249.87,300.0
8400,233.1,299.44,253.24,300.0
9000,237.38,299.48,256.33,300.0
9600,241.44,299.51,259.19,300.0
10200,245.26,299.54,261.86,300.0
10800,248.83,299.57,264.36,300.0
11400,252.17,299.6,266.69,300.0
12000,255.3,299.63,268.86,300.0
12600,258.22,299.65,270.9,300.0
13200,260.95,299.68,272.8,300.0
13800,263.5,299.7,274.58,300.0
14400,265.89,299.72,276.24,300.0
