Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,107.2,107.2,107.2,107.2
600,107.2,109.95,107.63,110.0
1200,107.27,113.75,108.51,113.83333333333334
1800,107.52,118.87,109.92,119.0
2400,108.06,125.9,111.98,126.1
3000,108.97,135.21,114.89,135.5
3600,110.37,147.31,118.88,147.7
4200,112.4,163.17,124.13,163.7
4800,115.21,182.91,130.99,183.6
5400,118.98,206.74,139.6,207.6
6000,123.89,234.73,150.13,235.8
6600,130.08,265.75,162.38,267.0
7200,137.65,298.58,176.3,300.0
7800,146.64,331.38,191.54,332.96666666666664
8400,156.89,362.53,207.34,364.2
9000,168.33,390.69,223.47,392.4
9600,180.75,414.65,239.53,416.4
10200,193.74,434.59,254.94,436.3
10800,207.21,450.61,269.75,452.3
11400,221.09,462.86,283.94,464.5
12000,234.6,472.34,297.1,473.9
12600,247.93,479.5,309.34,481.0
13200,261.13,484.73,320.86,486.1666666666667
13800,273.79,488.65,331.68,490.0
14400,285.69,491.53,341.58,492.8
