Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,101.8,101.8,101.8,101.8
600,101.8,102.52,101.91,102.53333333333332
1200,101.82,103.41,102.13,103.43333333333334
1800,101.88,104.67,102.47,104.7
2400,102.02,106.45,102.99,106.5
3000,102.25,108.79,103.72,108.86666666666666
3600,102.6,111.8,104.72,111.9
4200,103.12,115.8,106.07,115.93333333333334
4800,103.84,120.73,107.83,120.9
5400,104.83,126.68,110.05,126.9
6000,106.14,133.66,112.8,133.93333333333334
6600,107.82,141.41,116.07,141.73333333333332
7200,109.91,149.63,119.77,150.0
7800,112.4,157.92,123.82,158.33333333333334
8400,115.31,165.63,128.14,166.06666666666666
9000,118.61,172.64,132.6,173.1
9600,122.26,178.63,137.08,179.1
10200,126.16,183.6,141.46,184.06666666666663
10800,130.22,187.64,145.69,188.1
11400,134.36,190.7,149.7,191.13333333333333
12000,138.4,193.09,153.38,193.5
12600,142.25,194.91,156.74,195.3
13200,145.99,196.2,159.89,196.56666666666663
13800,149.59,197.12,162.81,197.46666666666667
14400,153.03,197.88,165.54,198.2
