Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,22.7384181,22.7384181,22.7384181,22.7384181
600,22.136,24.659,22.75,24.66188904
1200,22.218,28.668,23.91,28.67127928
1800,22.484,36.885,26.36,36.88890099
2400,23.126,53.149,31.323,53.16429615
3000,24.516,83.3,40.785,83.31660958
3600,27.332,132.81,57.098,132.8425612
4200,32.626,200.02,81.088,200.0661383
4800,41.573,271.0,109.79,271.0638992
5400,54.737,328.62,138.63,328.6907298
6000,71.584,366.22,164.17,366.2761543
6600,90.833,387.36,185.9,387.4189345
7200,110.9,398.28,204.21,398.3333333
7800,130.79,387.38,216.74,387.4189345
8400,148.76,366.25,223.95,366.2761543
9000,164.81,328.67,225.03,328.6907298
9600,178.05,271.06,218.09,271.0638992
10200,188.11,200.1,203.39,200.0661383
10800,194.12,132.88,184.4,132.8425612
11400,195.42,83.369,165.65,83.31660958
12000,192.14,53.209,149.67,53.16429615
12600,185.34,36.936,136.91,36.88890099
13200,176.41,28.713,126.54,28.67127928
13800,166.33,24.7,117.6,24.66188904
14400,156.15,22.777,109.81,22.7384181
