Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,400.0,400.0,400.0,400.0
600,400.0,416.35,402.48,416.6666666666667
1200,400.12,432.86,406.43,433.3333333333333
1800,400.69,449.4,411.27,450.0
2400,401.93,449.59,414.36,450.0
3000,403.8,449.64,416.6,450.0
3600,405.99,449.66,418.53,450.0
4200,408.25,449.69,420.28,450.0
4800,410.46,449.7,421.91,450.0
5400,412.58,449.72,423.44,450.0
6000,414.6,449.74,424.88,450.0
6600,416.51,449.75,426.25,450.0
7200,418.32,449.76,427.53,450.0
7800,420.04,433.43,426.27,433.3333333333333
8400,421.54,416.93,423.47,416.6666666666667
9000,422.51,400.4,419.72,400.0
9600,422.72,400.22,417.67,400.0
10200,422.22,400.19,416.4,400.0
10800,421.33,400.17,415.38,400.0
11400,420.3,400.15,414.5,400.0
12000,419.25,400.15,413.7,400.0
12600,418.23,400.14,412.95,400.0
13200,417.25,400.13,412.24,400.0
13800,416.32,400.12,411.58,400.0
14400,415.44,400.12,410.95,400.0
