Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,300.0,300.0,300.0,300.0
600,300.0,305.45,300.99,305.55555555555554
1200,300.06,310.95,302.49,311.1111111111111
1800,300.32,316.46,304.28,316.6666666666667
2400,300.85,321.97,306.32,322.22222222222223
3000,301.67,327.49,308.58,327.77777777777777
3600,302.77,333.01,311.04,333.3333333333333
4200,304.15,338.53,313.69,338.8888888888889
4800,305.77,344.06,316.52,344.44444444444446
5400,307.62,349.59,319.46,350.0
6000,309.68,355.12,322.56,355.55555555555554
6600,311.93,360.65,325.8,361.1111111111111
7200,314.37,366.18,329.19,366.66666666666663
7800,316.99,371.71,332.71,372.22222222222223
8400,319.79,377.24,336.35,377.77777777777777
9000,322.76,382.78,340.1,383.3333333333333
9600,325.88,388.32,343.96,388.8888888888889
10200,329.1,393.87,347.86,394.44444444444446
10800,332.39,399.4,351.79,400.0
11400,335.79,399.49,354.87,400.0
12000,339.26,399.53,357.55,400.0
12600,342.67,399.56,360.02,400.0
13200,345.93,399.58,362.33,400.0
13800,349.03,399.61,364.51,400.0
14400,351.96,399.63,366.55,400.0
