Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,125.0,125.0,125.0,125.0
600,125.01,133.17,126.42,133.33333333333334
1200,125.21,141.42,128.71,141.66666666666666
1800,125.89,149.68,131.53,150.0
2400,127.11,149.78,133.38,150.0
3000,128.68,149.8,134.77,150.0
3600,130.28,149.82,135.98,150.0
4200,131.8,149.83,137.08,150.0
4800,133.22,149.85,138.09,150.0
5400,134.53,149.86,139.02,150.0
6000,135.73,149.87,139.87,150.0
6600,136.85,149.88,140.66,150.0
7200,137.87,149.89,141.39,150.0
7800,138.81,141.73,140.64,141.66666666666666
8400,139.48,133.49,138.97,133.33333333333334
9000,139.6,125.24,136.72,125.0
9600,139.12,125.14,135.4,125.0
10200,138.24,125.13,134.5,125.0
10800,137.27,125.11,133.73,125.0
11400,136.33,125.1,133.05,125.0
12000,135.45,125.1,132.42,125.0
12600,134.63,125.09,131.84,125.0
13200,133.88,125.08,131.3,125.0
13800,133.19,125.08,130.81,125.0
14400,132.55,125.07,130.36,125.0
