Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,150.0,150.0,150.0,150.0
600,150.01,156.25,151.44,156.25
1200,150.14,162.5,153.49,162.5
1800,150.62,168.75,155.9,168.75
2400,151.49,175.0,158.62,175.0
3000,152.76,181.25,161.61,181.25
3600,154.4,187.5,164.84,187.5
4200,156.39,193.75,168.31,193.75
4800,158.67,200.0,171.9,200.0
5400,161.21,206.25,175.69,206.25
6000,164.01,212.5,179.67,212.5
6600,167.05,218.75,183.81,218.75
7200,170.33,225.0,188.11,225.0
7800,173.83,231.25,192.56,231.25
8400,177.53,237.5,197.14,237.5
9000,181.34,243.75,201.73,243.75
9600,185.22,250.0,206.38,250.0
10200,189.23,256.25,211.15,256.25
10800,193.4,262.5,216.03,262.5
11400,197.71,268.75,221.0,268.75
12000,202.16,275.0,226.07,275.0
12600,206.73,281.25,231.21,281.25
13200,211.36,287.5,236.38,287.5
13800,215.93,293.75,241.48,293.75
14400,220.58,300.0,246.66,300.0
